Date,Open,High,Low,Close,Volume
2000/6/26,0.3449,0.3658,0.2927,0.2968,23925000
2000/6/27,0.2979,0.3909,0.2979,0.3575,42328100
2000/6/28,0.3616,0.4285,0.3491,0.4223,33131200
2000/6/29,0.4243,0.4724,0.4118,0.4118,31350000
2000/6/30,0.3993,0.4369,0.3909,0.393,10734400
2000/7/3,0.393,0.4034,0.3784,0.3888,3384400
2000/7/4,0.3972,0.4139,0.3867,0.3972,5371900
2000/7/5,0.4014,0.4118,0.3888,0.393,4631200
2000/7/6,0.3888,0.3951,0.3805,0.3888,4968700
2000/7/7,0.3888,0.4285,0.3888,0.4285,18890600
2000/7/10,0.439,0.5226,0.4306,0.5205,35690600
2000/7/11,0.5226,0.533,0.4933,0.4933,36262500
2000/7/12,0.4933,0.5205,0.4891,0.4975,22012500
2000/7/13,0.5017,0.5487,0.4975,0.5101,30468700
2000/7/14,0.5101,0.5205,0.4996,0.5059,7368700
2000/7/17,0.508,0.533,0.4996,0.5184,8043700
2000/7/18,0.5184,0.5278,0.4954,0.4996,8653100
2000/7/19,0.4954,0.5226,0.4912,0.5205,11690600
2000/7/20,0.5205,0.5592,0.5163,0.5226,33431200
2000/7/21,0.533,0.5435,0.5121,0.5142,11746900
2000/7/24,0.5101,0.5101,0.5017,0.5038,5540600
2000/7/25,0.5038,0.5142,0.4933,0.5038,4209400
2000/7/26,0.5059,0.508,0.4871,0.4912,5728100
2000/7/27,0.4912,0.4912,0.4662,0.4724,8821900
2000/7/28,0.4745,0.4745,0.4473,0.4515,10340600
2000/7/31,0.4411,0.4515,0.4181,0.4494,8606200
2000/8/1,0.4515,0.4641,0.4327,0.4369,7256200
2000/8/2,0.4348,0.4369,0.4202,0.4223,2756200
2000/8/3,0.4223,0.4411,0.4223,0.4327,3984400
2000/8/4,0.4369,0.4432,0.4223,0.4264,5306200
2000/8/7,0.4264,0.4285,0.3972,0.3993,6890600
2000/8/8,0.4014,0.4243,0.3951,0.4055,5821900
2000/8/9,0.4076,0.4076,0.3909,0.3909,3768700
2000/8/10,0.3867,0.3888,0.3763,0.3825,2671900
2000/8/11,0.3784,0.3825,0.3679,0.3679,2840600
2000/8/14,0.3679,0.3742,0.3575,0.3595,3834400
2000/8/15,0.3595,0.3805,0.3595,0.37,4125000
2000/8/16,0.3679,0.3888,0.3658,0.3888,4162500
2000/8/17,0.3888,0.4348,0.3867,0.4306,10893700
2000/8/18,0.4348,0.4432,0.4076,0.4076,9834400
2000/8/21,0.4076,0.4076,0.393,0.393,1687500
2000/8/22,0.393,0.4118,0.393,0.3993,2531200
2000/8/23,0.4014,0.4076,0.3972,0.3972,656200
2000/8/24,0.3972,0.4034,0.393,0.3972,2137500
2000/8/25,0.3951,0.4014,0.3909,0.393,2081200
2000/8/28,0.3721,0.3888,0.3721,0.3763,3103100
2000/8/29,0.3784,0.3951,0.3784,0.3867,721900
2000/8/30,0.3867,0.3888,0.3763,0.3825,581200
2000/9/1,0.3784,0.3784,0.3658,0.3679,1743700
