Date,Open,High,Low,Close,Volume
1999/12/15,4.2742,4.7967,2.4221,2.4791,5402000
1999/12/16,2.5171,2.5835,2.3366,2.3746,3506000
1999/12/17,2.3746,2.4126,2.2321,2.3746,1177000
1999/12/20,2.3746,2.4126,2.3176,2.3176,551000
1999/12/21,2.2796,2.2891,2.1941,2.2036,435000
1999/12/22,2.2036,2.2036,2.0231,2.0706,983000
1999/12/23,2.0706,2.2511,2.0706,2.0801,1435000
1999/12/24,2.1181,2.1371,2.0136,2.0421,717000
1999/12/27,2.0421,2.0801,1.9851,1.9946,361000
1999/12/28,1.9946,2.0231,1.9946,1.9946,263000
1999/12/29,2.0136,2.0421,2.0041,2.0231,342000
1999/12/30,2.0421,2.0991,2.0041,2.0516,933000
2000/1/3,2.0896,2.1181,2.0516,2.0801,1027000
2000/1/4,2.0991,2.1181,2.0136,2.0421,738000
2000/1/5,1.9946,2.0136,1.8997,1.9851,1159000
2000/1/6,1.9946,2.0136,1.9282,1.9472,763000
2000/1/11,1.9851,2.0136,1.9282,1.9472,1022000
2000/1/12,1.9472,1.9757,1.9187,1.9282,424000
2000/1/13,1.9567,1.9662,1.9092,1.9187,683000
2000/1/14,1.9377,1.9851,1.9092,1.9472,740000
2000/1/17,1.9851,2.1276,1.9567,2.0326,1104000
2000/1/18,2.0326,2.1086,2.0326,2.0991,592000
2000/1/19,2.0991,2.2321,2.0991,2.1846,1590000
2000/1/20,2.2321,2.2321,2.1276,2.1941,1339000
2000/1/21,2.1846,2.2226,2.0896,2.1086,660000
2000/1/24,2.1371,2.1656,2.1086,2.1276,339000
2000/1/25,2.1181,2.1276,2.0421,2.1276,185000
2000/1/26,2.1181,2.1276,2.0041,2.0706,465000
2000/1/27,2.0326,2.0516,1.9662,2.0326,295000
2000/1/28,1.9946,1.9946,1.9377,1.9757,308000
2000/1/31,1.9187,1.9472,1.8997,1.9472,212000
2000/2/2,2.0041,2.0041,1.9567,1.9757,377000
2000/2/3,1.9946,2.0896,1.9851,2.0801,818000
2000/2/8,2.0896,2.1181,2.0421,2.0801,1200000
2000/2/9,2.0896,2.4411,2.0896,2.4126,3625000
2000/2/10,2.4126,2.6975,2.3461,2.6025,7829000
2000/2/11,2.6595,2.6975,2.4411,2.4411,2544000
2000/2/14,2.4411,2.5361,2.3746,2.5361,2238000
2000/2/15,2.5645,2.631,2.4411,2.4886,2384000
2000/2/16,2.5456,2.5456,2.4221,2.5076,1099000
2000/2/17,2.5076,2.6025,2.4886,2.5835,2370000
2000/2/18,2.612,2.9445,2.6025,2.802,6174000
2000/2/21,2.783,2.802,2.688,2.745,1688000
2000/2/22,2.7545,2.7735,2.6215,2.6785,1522000
2000/2/23,2.688,2.802,2.65,2.783,2748000
2000/2/24,2.7925,2.802,2.7165,2.7545,955000
2000/2/25,2.764,2.802,2.65,2.688,1397000
2000/2/28,2.6595,2.7165,2.593,2.6595,1728000
2000/2/29,2.707,2.7165,2.593,2.6595,947000
2000/3/1,2.707,2.707,2.6405,2.6595,1284000
2000/3/2,2.6405,2.6595,2.593,2.6595,760000
2000/3/3,2.6595,2.6975,2.5456,2.6405,486000
2000/3/6,2.6595,2.6785,2.6215,2.6405,546000
2000/3/7,2.6215,2.631,2.5645,2.5835,847000
2000/3/8,2.555,2.612,2.4696,2.5835,374000
2000/3/9,2.612,2.6215,2.5645,2.593,209000
2000/3/10,2.593,2.6785,2.593,2.6785,378000
2000/3/13,2.6785,2.6975,2.612,2.6215,498000
2000/3/14,2.5835,2.612,2.5835,2.6025,351000
2000/3/15,2.6025,2.612,2.593,2.612,177000
2000/3/17,2.6595,2.6595,2.593,2.6215,229000
2000/3/20,2.6025,2.631,2.593,2.612,351000
2000/3/21,2.612,2.6595,2.6025,2.6595,307000
2000/3/22,2.6785,2.6785,2.6405,2.6595,739000
2000/3/23,2.6595,2.669,2.6405,2.65,648000
2000/3/24,2.6595,2.6785,2.65,2.6785,710000
2000/3/27,2.6785,2.7735,2.6785,2.7545,810000
2000/3/28,2.7545,2.7735,2.7355,2.764,772000
2000/3/29,2.7735,3.0965,2.7735,2.9445,2408000
2000/3/30,2.9825,3.0205,2.8495,2.8495,911000
2000/3/31,2.8115,2.9445,2.7355,2.8495,336000
2000/4/3,2.8875,2.9065,2.8305,2.8305,186000
2000/4/4,2.8305,2.8495,2.7735,2.7735,387000
2000/4/5,2.7545,2.7735,2.7165,2.7165,595000
2000/4/7,2.7545,2.7545,2.6025,2.6595,770000
2000/4/10,2.6405,2.6405,2.5645,2.574,325000
2000/4/11,2.5645,2.6405,2.5645,2.631,84000
2000/4/12,2.631,2.6785,2.5835,2.6215,82000
2000/4/13,2.6025,2.6025,2.5835,2.593,28000
2000/4/14,2.5645,2.6025,2.5645,2.593,64000
2000/4/17,2.5266,2.5266,2.3841,2.3841,820000
2000/4/18,2.4886,2.5076,2.4696,2.4886,124000
2000/4/19,2.4886,2.5456,2.4886,2.5456,107000
2000/4/20,2.5456,2.5456,2.4696,2.4696,18000
2000/4/21,2.4886,2.4886,2.4696,2.4791,95000
2000/4/24,2.4696,2.4696,2.4221,2.4221,33000
2000/4/25,2.4696,2.4696,2.3936,2.4601,50000
2000/4/26,2.4696,2.4696,2.4126,2.4221,112000
2000/4/27,2.4031,2.4316,2.3841,2.3841,25000
2000/4/28,2.4221,2.4221,2.4221,2.4221,10000
2000/5/2,2.4316,2.4316,2.3556,2.3556,79000
2000/5/3,2.3556,2.3556,2.3081,2.3081,148000
2000/5/4,2.3081,2.4221,2.2796,2.3936,104000
2000/5/5,2.4221,2.5171,2.4221,2.4791,164000
2000/5/8,2.555,2.555,2.4886,2.5266,278000
2000/5/9,2.5266,2.5266,2.4791,2.5171,50000
2000/5/10,2.5076,2.6025,2.5076,2.5835,57000
2000/5/11,2.5171,2.5171,2.4886,2.4981,218000
2000/5/12,2.4981,2.4981,2.4506,2.4791,194000
2000/5/15,2.4696,2.4696,2.3936,2.4696,145000
2000/5/16,2.4221,2.4981,2.4221,2.4981,355000
2000/5/17,2.4981,2.5171,2.4981,2.5171,277000
2000/5/19,2.4696,2.5171,2.4696,2.4981,335000
2000/5/22,2.4981,2.5171,2.4886,2.4981,180000
2000/5/23,2.4981,2.5266,2.3746,2.3746,881000
2000/5/24,2.3936,2.3936,2.2986,2.3176,345000
2000/5/25,2.3746,2.4126,2.2796,2.2986,177000
2000/5/26,2.2606,2.2796,2.2321,2.2321,67000
2000/5/29,2.2321,2.2796,2.2321,2.2701,195000
2000/5/30,2.2701,2.2986,2.2606,2.2701,152000
2000/5/31,2.2796,2.3176,2.2701,2.2796,131000
2000/6/1,2.2891,2.2891,2.2036,2.2701,146000
2000/6/2,2.2606,2.2796,2.2321,2.2796,126000
2000/6/5,2.2701,2.2701,2.1846,2.1846,36000
2000/6/6,2.1846,2.1846,2.1276,2.1561,202000
2000/6/7,2.1086,2.1846,2.1086,2.1561,83000
2000/6/8,2.1371,2.1371,2.0041,2.0516,213000
2000/6/9,2.0516,2.1276,2.0516,2.0896,118000
2000/6/12,2.0136,2.0896,2.0136,2.0896,34000
2000/6/13,2.0706,2.0896,2.0516,2.0896,67000
2000/6/14,2.0896,2.1086,2.0706,2.0801,64000
2000/6/16,2.0801,2.0801,2.0041,2.0231,38000
2000/6/19,1.9946,2.0231,1.9567,1.9567,115000
2000/6/20,1.9567,1.9662,1.8617,1.8617,277000
2000/6/21,1.8617,1.9377,1.8617,1.9282,94000
2000/6/22,1.9282,1.9282,1.8712,1.8902,92000
2000/6/23,1.8712,1.8712,1.8237,1.8237,120000
2000/6/26,1.8047,1.8427,1.7952,1.7952,66000
2000/6/27,1.8047,1.9187,1.8047,1.8997,31000
2000/6/28,1.8807,1.9662,1.8807,1.9472,38000
2000/6/29,1.9662,1.9662,1.9377,1.9377,51000
2000/6/30,1.9282,1.9282,1.8902,1.9187,4000
2000/7/3,1.9092,1.9092,1.8142,1.8332,75000
2000/7/4,1.8332,1.8332,1.8047,1.8047,172000
2000/7/5,1.8142,1.8522,1.7857,1.7952,129000
2000/7/6,1.7952,1.8237,1.7952,1.8237,52000
2000/7/7,1.8902,1.9092,1.8427,1.9092,18000
2000/7/10,1.8997,1.9757,1.8997,1.9472,148000
2000/7/11,1.9377,1.9757,1.9377,1.9472,167000
2000/7/12,1.9757,2.0611,1.9662,2.0611,90000
2000/7/13,2.0611,2.1181,1.9946,2.0611,108000
2000/7/14,1.9851,2.0611,1.9851,2.0611,71000
2000/7/17,1.9946,2.0896,1.9946,2.0801,31000
2000/7/18,2.0421,2.0801,2.0326,2.0326,27000
2000/7/19,2.0326,2.0516,2.0326,2.0516,93000
2000/7/20,2.0516,2.0801,2.0516,2.0611,155000
2000/7/21,2.0801,2.1371,2.0706,2.1371,166000
2000/7/24,2.2796,2.2796,2.0896,2.1181,58000
2000/7/25,2.0896,2.1181,2.0896,2.1181,135000
2000/7/26,2.0896,2.1181,2.0896,2.1086,93000
2000/7/27,2.0041,2.0991,2.0041,2.0896,133000
2000/7/28,2.0801,2.0896,2.0421,2.0896,78000
2000/7/31,2.0421,2.0896,1.9662,2.0896,134000
2000/8/1,2.0706,2.1086,2.0706,2.1086,78000
2000/8/2,2.1181,2.1181,2.0896,2.1181,32000
2000/8/3,2.1181,2.1561,2.1181,2.1561,50000
2000/8/4,2.1751,2.1941,2.1561,2.1846,53000
2000/8/7,2.1846,2.1941,2.1751,2.1941,40000
2000/8/8,2.1846,2.2131,2.1656,2.2131,45000
2000/8/9,2.2226,2.2226,2.1846,2.2131,58000
2000/8/10,2.1656,2.2036,2.1656,2.2036,51000
2000/8/11,2.1751,2.1846,2.1656,2.1656,43000
2000/8/14,2.1656,2.1656,2.1466,2.1656,32000
2000/8/15,2.1656,2.2036,2.1656,2.1846,37000
2000/8/16,2.1846,2.2131,2.1846,2.2131,63000
2000/8/17,2.1941,2.2986,2.1941,2.2796,61000
2000/8/18,2.2796,2.2986,2.2511,2.2796,43000
2000/8/21,2.2796,2.2796,2.2321,2.2701,22000
2000/8/22,2.2606,2.2891,2.2416,2.2891,58000
2000/8/23,2.2986,2.3081,2.2891,2.3081,56000
2000/8/24,2.3081,2.3081,2.2701,2.2701,17000
2000/8/25,2.2036,2.2416,2.2036,2.2321,10000
2000/8/28,2.1846,2.1941,2.1751,2.1846,52000
2000/8/29,2.2036,2.2036,2.1846,2.1846,71000
2000/8/30,2.1656,2.1941,2.1656,2.1941,6000
2000/9/1,2.1846,2.1846,2.1371,2.1561,50000
2000/9/4,2.0896,2.1276,2.0801,2.0896,55000
2000/9/5,2.0896,2.1086,2.0896,2.0991,44000
2000/9/6,2.1086,2.1086,2.0801,2.0896,65000
2000/9/7,2.0706,2.0706,2.0611,2.0611,49000
2000/9/8,2.0421,2.0516,2.0326,2.0326,56000
2000/9/11,2.0326,2.0326,2.0041,2.0041,124000
2000/9/12,2.0041,2.0136,1.9851,2.0136,39000
2000/9/13,1.9946,2.0896,1.9946,2.0896,53000
2000/9/14,2.0896,2.1466,2.0896,2.1181,49000
2000/9/15,2.0896,2.0991,2.0706,2.0991,22000
2000/9/18,2.0136,2.0611,2.0136,2.0516,29000
2000/9/19,2.0326,2.0421,2.0041,2.0421,45000
2000/9/20,2.0231,2.0421,2.0231,2.0421,21000
2000/9/21,2.0421,2.0516,2.0421,2.0421,32000
2000/9/22,2.0326,2.0326,1.9567,1.9757,87000
2000/9/25,1.9757,2.0041,1.9472,2.0041,41000
2000/9/26,1.9851,1.9851,1.9377,1.9377,162000
2000/9/27,1.9472,1.9472,1.9282,1.9377,59000
2000/9/28,1.9187,1.9282,1.9092,1.9282,84000
2000/9/29,1.9282,1.9282,1.9187,1.9282,99000
