Date,Open,High,Low,Close,Volume
2015/4/14,0.2217,0.2439,0.1885,0.1996,180728200
2015/4/15,0.1996,0.2106,0.1996,0.2106,47759700
2015/4/16,0.2106,0.218,0.2032,0.2143,46193000
2015/4/17,0.2143,0.2845,0.2106,0.2845,239142400
2015/4/20,0.2956,0.3474,0.2956,0.3067,262264400
2015/4/21,0.3067,0.3289,0.3067,0.3141,62100800
2015/4/22,0.3178,0.3548,0.3178,0.34,136698700
2015/4/23,0.3474,0.3511,0.3289,0.3289,61828000
2015/4/24,0.3326,0.3326,0.3141,0.3215,44766500
2015/4/27,0.3215,0.3289,0.2956,0.303,28894000
2015/4/28,0.2956,0.3067,0.2661,0.2808,60106900
2015/4/29,0.2808,0.2919,0.255,0.2919,74916800
2015/4/30,0.2882,0.2993,0.2698,0.2735,42599900
2015/5/5,0.2772,0.2808,0.2587,0.2587,20454900
2015/5/6,0.255,0.2845,0.255,0.2772,55662600
2015/5/7,0.2735,0.2808,0.2587,0.2698,45165400
2015/5/8,0.2661,0.2735,0.2624,0.2661,32637000
2015/5/11,0.2661,0.2698,0.2476,0.2513,26999900
2015/5/12,0.2476,0.2587,0.2365,0.2402,37318800
2015/5/13,0.2402,0.255,0.2402,0.2476,28902600
2015/5/14,0.2439,0.2624,0.2439,0.255,39376400
2015/5/15,0.2587,0.2624,0.255,0.255,23140700
2015/5/18,0.2513,0.2624,0.2476,0.2587,30988600
2015/5/19,0.2587,0.2845,0.2587,0.2735,75311800
2015/5/20,0.2772,0.2772,0.2624,0.2624,20510400
2015/5/21,0.2624,0.2698,0.2513,0.255,15972000
2015/5/22,0.255,0.255,0.2476,0.255,7199700
2015/5/25,0.255,0.255,0.2328,0.2365,31335700
2015/5/26,0.2365,0.2476,0.2365,0.2402,25331500
2015/5/27,0.2365,0.2402,0.2365,0.2402,10558100
2015/5/28,0.2439,0.2513,0.2365,0.2402,28418400
2015/5/29,0.2402,0.2402,0.2254,0.2254,19431400
2015/6/1,0.2291,0.2328,0.218,0.2254,17087400
2015/6/2,0.2254,0.2365,0.2254,0.2328,16226400
2015/6/3,0.2291,0.2402,0.2291,0.2328,17647600
2015/6/4,0.2328,0.2365,0.2254,0.2328,8412400
2015/6/5,0.2291,0.2328,0.2291,0.2291,3368000
2015/6/8,0.2291,0.2291,0.2254,0.2254,6872900
2015/6/9,0.2254,0.2254,0.218,0.218,6188800
2015/6/10,0.2217,0.2291,0.218,0.218,5363600
2015/6/11,0.2254,0.2254,0.2143,0.2217,4207200
2015/6/12,0.2217,0.2254,0.218,0.218,3202000
2015/6/15,0.218,0.218,0.1959,0.1996,8946700
2015/6/16,0.1959,0.2069,0.1922,0.2069,9106300
2015/6/17,0.2032,0.2069,0.1996,0.2032,3020700
2015/6/18,0.2032,0.2254,0.2032,0.2217,15926600
2015/6/19,0.2328,0.2402,0.2254,0.2328,19500800
2015/6/22,0.2328,0.2476,0.2328,0.2439,19766800
2015/6/23,0.2476,0.2476,0.2328,0.2328,10999600
2015/6/24,0.2365,0.255,0.2328,0.2439,21712900
2015/6/25,0.2439,0.2439,0.2328,0.2365,7323000
2015/6/26,0.2365,0.2365,0.2254,0.2254,5224400
2015/6/29,0.2254,0.2254,0.2143,0.218,6131900
2015/6/30,0.2143,0.2254,0.2143,0.2254,6015200
2015/7/1,0.2328,0.2365,0.2291,0.2291,8733800
2015/7/2,0.2328,0.2328,0.2217,0.2217,3796500
2015/7/3,0.2254,0.2254,0.218,0.2254,1201000
2015/7/6,0.2217,0.2217,0.2143,0.218,6471900
2015/7/7,0.218,0.2217,0.218,0.218,5376100
2015/7/8,0.218,0.218,0.2106,0.218,6389800
2015/7/9,0.2106,0.2254,0.2106,0.2217,6758900
2015/7/10,0.2217,0.2254,0.2217,0.2217,6067500
2015/7/13,0.2217,0.2217,0.218,0.2217,3266900
2015/7/14,0.2217,0.2254,0.218,0.2217,4533500
2015/7/15,0.2217,0.2365,0.2217,0.2254,10760900
2015/7/16,0.2254,0.2291,0.2254,0.2291,1376000
2015/7/20,0.2291,0.2365,0.2254,0.2328,5198800
2015/7/21,0.2291,0.2439,0.2291,0.2365,22598200
2015/7/22,0.2365,0.2365,0.2291,0.2328,5275000
2015/7/23,0.2291,0.2402,0.2291,0.2328,4156800
2015/7/24,0.2291,0.2365,0.2291,0.2291,2260700
2015/7/27,0.2291,0.2328,0.218,0.2217,10305900
2015/7/28,0.2217,0.2217,0.218,0.218,2702200
2015/7/29,0.2217,0.2217,0.2143,0.2217,3942000
2015/7/30,0.2217,0.2254,0.218,0.2217,3933700
2015/7/31,0.2217,0.2217,0.218,0.218,3232400
2015/8/3,0.218,0.2254,0.218,0.218,2285200
2015/8/4,0.218,0.218,0.2106,0.2143,4684200
2015/8/5,0.2143,0.218,0.2106,0.2143,2593400
2015/8/6,0.2106,0.2143,0.2106,0.2106,2398000
2015/8/7,0.2106,0.2106,0.2032,0.2069,2852200
2015/8/10,0.2069,0.2106,0.1922,0.1996,3492100
2015/8/11,0.2069,0.2069,0.1959,0.1996,1679100
2015/8/12,0.1959,0.1996,0.1848,0.1885,4866800
2015/8/13,0.1885,0.1996,0.1885,0.1959,2340100
2015/8/14,0.1959,0.1959,0.1848,0.1885,2327100
2015/8/17,0.1885,0.1885,0.1774,0.1848,2475800
2015/8/18,0.1774,0.1922,0.1774,0.1885,1512300
2015/8/19,0.1885,0.1922,0.1848,0.1922,1223200
2015/8/20,0.1885,0.1922,0.1885,0.1922,1363100
2015/8/21,0.1885,0.1922,0.1848,0.1922,1607400
2015/8/24,0.1885,0.1885,0.1774,0.1811,1771900
2015/8/25,0.1774,0.1811,0.1663,0.1811,2302600
2015/8/26,0.1774,0.1774,0.1737,0.1774,1060100
2015/8/27,0.1774,0.1996,0.1774,0.1996,2796500
2015/8/28,0.2032,0.2032,0.17,0.1774,5472000
2015/9/1,0.1811,0.1848,0.1811,0.1811,1786700
2015/9/2,0.1811,0.1848,0.1811,0.1848,2020800
2015/9/3,0.1848,0.1959,0.1848,0.1922,5943900
2015/9/4,0.1922,0.1996,0.1885,0.1922,4633500
2015/9/7,0.1885,0.1922,0.1885,0.1922,1087800
2015/9/8,0.1885,0.1996,0.1848,0.1922,2233700
2015/9/9,0.1922,0.218,0.1885,0.2069,13050500
2015/9/10,0.1996,0.2143,0.1996,0.2069,7294300
2015/9/11,0.2069,0.2143,0.2032,0.2069,3286300
2015/9/14,0.2032,0.2069,0.1996,0.2069,1310400
2015/9/15,0.2069,0.2069,0.1996,0.1996,1104600
2015/9/17,0.2032,0.2106,0.1996,0.1996,1957600
2015/9/18,0.1996,0.2217,0.1996,0.2032,15144100
2015/9/21,0.2032,0.2069,0.1996,0.2069,1737900
2015/9/22,0.2032,0.2106,0.2032,0.2032,4262000
2015/9/23,0.2032,0.2069,0.1996,0.2032,968400
2015/9/25,0.1996,0.2069,0.1996,0.2032,3041800
2015/9/28,0.1996,0.2032,0.1996,0.2032,804100
2015/9/29,0.1996,0.1996,0.1959,0.1959,963000
2015/9/30,0.1996,0.2032,0.1996,0.2032,1378600
2015/10/1,0.2032,0.2106,0.1996,0.1996,6275000
2015/10/2,0.2032,0.2069,0.1996,0.2032,1123200
2015/10/5,0.2032,0.2069,0.2032,0.2032,1380000
2015/10/6,0.2069,0.2143,0.2032,0.2069,8175000
2015/10/7,0.2069,0.2143,0.2069,0.2143,3395600
2015/10/8,0.2143,0.2143,0.2069,0.2106,3155200
2015/10/9,0.2106,0.2143,0.2106,0.2143,1646700
2015/10/12,0.2106,0.2143,0.2069,0.2106,3621200
2015/10/13,0.2106,0.2291,0.2106,0.2254,18953300
2015/10/15,0.2291,0.2291,0.218,0.218,8930400
2015/10/16,0.2217,0.2217,0.218,0.2217,3725700
2015/10/19,0.2217,0.2217,0.2143,0.2143,2151900
2015/10/20,0.218,0.2217,0.2143,0.218,5298300
2015/10/21,0.218,0.2254,0.2143,0.218,14333900
2015/10/22,0.218,0.2217,0.2106,0.2143,4763300
2015/10/23,0.2143,0.218,0.2143,0.218,3676500
2015/10/26,0.218,0.218,0.2069,0.2069,8311500
2015/10/27,0.2106,0.2106,0.2069,0.2069,4789600
2015/10/28,0.2069,0.2291,0.2069,0.2291,25889300
2015/10/29,0.2291,0.2365,0.2143,0.2143,43475100
2015/10/30,0.218,0.2254,0.2106,0.2217,16841400
2015/11/2,0.2217,0.2402,0.2217,0.2365,40673900
2015/11/3,0.2365,0.2402,0.2254,0.2254,15180900
2015/11/4,0.2254,0.2365,0.2254,0.2365,12757500
2015/11/5,0.2365,0.2365,0.2328,0.2328,3254100
2015/11/6,0.2365,0.2365,0.2217,0.2254,7652800
2015/11/9,0.2291,0.2365,0.2291,0.2328,4141500
2015/11/11,0.2291,0.2328,0.2254,0.2254,7183300
2015/11/12,0.2254,0.2328,0.2254,0.2291,4971900
2015/11/13,0.2217,0.2291,0.2217,0.2254,3645900
2015/11/16,0.2217,0.2291,0.2217,0.2254,3068800
2015/11/17,0.2291,0.2402,0.2254,0.2328,14897200
2015/11/18,0.2328,0.2328,0.2291,0.2328,1104900
2015/11/19,0.2328,0.2365,0.2291,0.2291,10624100
2015/11/20,0.2291,0.2328,0.2291,0.2291,2893400
2015/11/23,0.2328,0.2328,0.2291,0.2291,1946500
2015/11/24,0.2291,0.2328,0.2291,0.2291,2382400
2015/11/25,0.2291,0.2291,0.2291,0.2291,4728400
2015/11/26,0.2328,0.2476,0.2328,0.2439,18399900
2015/11/27,0.2476,0.2513,0.2291,0.2365,9515000
2015/11/30,0.2365,0.2402,0.2328,0.2365,5301100
2015/12/1,0.2365,0.2402,0.2328,0.2365,7320100
2015/12/2,0.2328,0.2365,0.2291,0.2291,8004100
2015/12/3,0.2291,0.2328,0.2254,0.2291,2412100
2015/12/4,0.2254,0.2291,0.2217,0.2254,1467400
2015/12/7,0.2254,0.2291,0.2254,0.2291,1032500
2015/12/8,0.2254,0.2291,0.2217,0.2254,2324400
2015/12/9,0.2254,0.2254,0.2217,0.2217,1606900
2015/12/10,0.2217,0.2254,0.2143,0.2143,1648700
2015/12/11,0.2143,0.2254,0.2106,0.218,5112600
2015/12/14,0.2143,0.2143,0.2106,0.2143,1028700
2015/12/15,0.2143,0.2143,0.2106,0.2143,3781800
2015/12/16,0.2143,0.2254,0.2143,0.2217,2337400
2015/12/17,0.2217,0.2217,0.218,0.2217,2018100
2015/12/18,0.218,0.2217,0.218,0.218,656900
2015/12/21,0.2217,0.2291,0.218,0.2217,5035500
2015/12/22,0.2254,0.2328,0.2254,0.2291,4041800
2015/12/23,0.2291,0.2365,0.2254,0.2291,5594300
2015/12/28,0.2291,0.2365,0.2291,0.2365,1789400
2015/12/29,0.2328,0.2402,0.2291,0.2365,4091600
2015/12/30,0.2365,0.2365,0.2291,0.2328,1461000
2015/12/31,0.2328,0.2328,0.2254,0.2328,3379000
2016/1/4,0.2254,0.2291,0.2254,0.2291,796400
2016/1/5,0.2254,0.2291,0.2217,0.2217,1379000
2016/1/6,0.2254,0.2291,0.2217,0.2217,1627300
2016/1/7,0.2254,0.2254,0.2217,0.2217,1795100
2016/1/8,0.2217,0.2291,0.2217,0.2291,780800
2016/1/11,0.2254,0.2291,0.2217,0.2291,2514500
2016/1/12,0.2254,0.2291,0.2217,0.2217,1118300
2016/1/13,0.2254,0.2365,0.2254,0.2365,7543200
2016/1/14,0.2365,0.2624,0.2291,0.2624,30238400
2016/1/15,0.2624,0.2661,0.2439,0.2439,20585200
2016/1/18,0.2365,0.2365,0.2291,0.2365,4165100
2016/1/19,0.2328,0.2439,0.2328,0.2402,9383100
2016/1/20,0.2402,0.2402,0.2291,0.2365,5900800
2016/1/21,0.2328,0.2402,0.2254,0.2291,16464300
2016/1/22,0.2328,0.2365,0.2291,0.2365,3333800
2016/1/26,0.2328,0.2365,0.2328,0.2365,5434100
2016/1/27,0.2365,0.255,0.2365,0.2513,18864200
2016/1/28,0.2587,0.2624,0.2439,0.2476,17587700
2016/1/29,0.2513,0.2513,0.2439,0.2476,7283400
2016/2/2,0.2476,0.2513,0.2402,0.2439,7890600
2016/2/3,0.2402,0.2476,0.2365,0.2439,11360200
2016/2/4,0.2476,0.2587,0.2439,0.2439,36599900
2016/2/5,0.2476,0.255,0.2476,0.2476,7163000
2016/2/10,0.2476,0.2513,0.2439,0.2476,1224100
2016/2/11,0.2476,0.2513,0.2439,0.2439,3070100
2016/2/12,0.2439,0.2439,0.2402,0.2402,3630200
2016/2/15,0.2476,0.2476,0.2439,0.2476,6832900
2016/2/16,0.2476,0.255,0.2439,0.2513,5151900
2016/2/17,0.2513,0.2587,0.2513,0.255,5726900
2016/2/18,0.255,0.2587,0.2476,0.2476,7449700
2016/2/19,0.2476,0.2513,0.2476,0.2513,3864400
2016/2/22,0.2513,0.2513,0.2476,0.2513,3252900
2016/2/23,0.2513,0.255,0.2365,0.2402,13780800
2016/2/24,0.2402,0.2439,0.2365,0.2402,1867300
2016/2/25,0.2439,0.2439,0.2365,0.2402,2984400
2016/2/26,0.2402,0.2476,0.2402,0.2476,3964700
2016/2/29,0.2476,0.2513,0.2439,0.2439,5367400
2016/3/1,0.2439,0.2513,0.2439,0.2513,2220600
2016/3/2,0.2513,0.2513,0.2439,0.2476,1267300
2016/3/3,0.2476,0.2513,0.2439,0.2476,1566400
2016/3/4,0.2476,0.2513,0.2476,0.2476,2541200
2016/3/7,0.2476,0.2624,0.2476,0.255,22352500
2016/3/8,0.2587,0.2624,0.255,0.2587,6835900
2016/3/9,0.2587,0.2587,0.2513,0.2587,2156600
2016/3/10,0.2587,0.2735,0.2587,0.2661,23687900
2016/3/11,0.2661,0.2919,0.2661,0.2808,36400500
2016/3/14,0.2845,0.2882,0.2735,0.2808,16236700
2016/3/15,0.2772,0.2808,0.2698,0.2698,7117400
2016/3/16,0.2735,0.2808,0.2735,0.2735,5526800
2016/3/17,0.2772,0.2993,0.2772,0.2956,25123900
2016/3/18,0.2956,0.3104,0.2956,0.2993,29223900
2016/3/21,0.303,0.3104,0.2993,0.3067,11397400
2016/3/22,0.3067,0.3141,0.2993,0.2993,12232600
2016/3/23,0.2993,0.3067,0.2956,0.2993,5268200
2016/3/24,0.2993,0.303,0.2956,0.2956,4859900
2016/3/25,0.2993,0.3067,0.2993,0.2993,7470300
2016/3/28,0.303,0.3289,0.303,0.3252,35084000
2016/3/29,0.3252,0.3326,0.3141,0.3141,16621100
2016/3/30,0.3178,0.3252,0.3141,0.3178,12259700
2016/3/31,0.3141,0.3178,0.2993,0.303,19290000
2016/4/1,0.303,0.3104,0.2993,0.303,9965500
2016/4/4,0.303,0.3067,0.2993,0.3067,5391800
2016/4/5,0.3067,0.3067,0.2808,0.2845,26381000
2016/4/6,0.2845,0.2882,0.2772,0.2772,10857400
2016/4/7,0.2772,0.2882,0.2772,0.2808,12418300
2016/4/8,0.2808,0.2845,0.2772,0.2808,6371100
2016/4/11,0.2808,0.2808,0.2735,0.2772,6927600
2016/4/12,0.2772,0.2772,0.2698,0.2735,5861700
2016/4/13,0.2735,0.2845,0.2735,0.2845,15984600
2016/4/14,0.2845,0.2845,0.2772,0.2808,3487200
2016/4/15,0.2808,0.2808,0.2735,0.2735,6529900
