Date,Open,High,Low,Close,Volume
2004/11/22,0.7427,0.8616,0.7427,0.8319,149225000
2004/11/23,0.8437,0.8972,0.8378,0.8913,40798000
2004/11/24,0.8972,0.9329,0.8675,0.8675,40249000
2004/11/25,0.8734,0.8853,0.8319,0.8675,14515700
2004/11/26,0.8675,0.8972,0.8675,0.8794,12318000
2004/11/29,0.8794,0.8794,0.8378,0.8437,8439600
2004/11/30,0.8437,0.8675,0.8378,0.8675,12111000
2004/12/1,0.8675,0.8972,0.8556,0.8913,8158800
2004/12/2,0.9032,1.0101,0.8972,0.9745,34973600
2004/12/3,0.9863,1.0101,0.9626,0.9685,8733500
2004/12/6,0.9745,0.9982,0.9745,0.9745,7193500
2004/12/7,0.9804,0.9804,0.9566,0.9626,3533000
2004/12/8,0.9745,0.9804,0.9566,0.9685,4475400
2004/12/9,0.9685,0.9863,0.9685,0.9745,7796400
2004/12/10,0.9745,0.9745,0.9388,0.9388,4581800
2004/12/13,0.9448,0.9863,0.9448,0.9804,4227600
2004/12/14,0.9804,1.0101,0.9804,0.9982,5644200
2004/12/15,0.9982,1.0814,0.9982,1.0576,17383700
2004/12/16,1.0636,1.0933,1.0576,1.0576,8817800
2004/12/17,1.0695,1.0933,1.0576,1.0755,14992300
2004/12/20,1.0695,1.1052,1.0636,1.0874,17310700
2004/12/21,1.0874,1.0933,1.0695,1.0755,3771700
2004/12/22,1.0874,1.0933,1.0755,1.0814,2732300
2004/12/23,1.0814,1.0874,1.0517,1.0695,2110700
2004/12/24,1.0576,1.0576,1.022,1.0398,2489800
2004/12/27,1.0101,1.0279,0.9982,1.0161,2496500
2004/12/28,1.0101,1.0339,1.0101,1.022,3301600
2004/12/29,1.022,1.022,0.9863,0.9923,2253800
2004/12/30,0.9863,0.9863,0.9448,0.9566,5865700
2004/12/31,0.9566,0.9982,0.9507,0.9863,2147600
2005/1/3,0.9863,0.9863,0.9566,0.9685,1384000
2005/1/4,0.9685,0.9745,0.9626,0.9685,4856200
2005/1/5,0.9745,1.1052,0.9745,1.0992,11457900
2005/1/6,1.0992,1.123,1.0814,1.0933,6065700
2005/1/7,1.0933,1.0992,1.0755,1.0933,2211700
2005/1/10,1.0933,1.1705,1.0933,1.1587,10502800
2005/1/11,1.1587,1.1646,1.1111,1.123,4218700
2005/1/12,1.1289,1.1349,1.0874,1.0933,2990100
2005/1/13,1.1052,1.1171,1.0992,1.1171,1508400
2005/1/14,1.1052,1.1111,1.0874,1.0992,1092000
2005/1/17,1.0992,1.1111,1.0933,1.1052,1321400
2005/1/18,1.0992,1.1052,1.0933,1.0992,765500
2005/1/19,1.0992,1.0992,1.0517,1.0636,2393600
2005/1/20,1.0636,1.0636,1.0279,1.0576,7966400
2005/1/24,1.0576,1.0874,1.0517,1.0755,1952900
2005/1/25,1.0755,1.0933,1.0695,1.0814,1555100
2005/1/26,1.0874,1.0874,1.0695,1.0695,770500
2005/1/27,1.0695,1.0695,1.0458,1.0517,4999800
2005/1/28,1.0517,1.0755,1.0517,1.0695,5339800
2005/1/31,1.0576,1.0636,1.0279,1.0517,5926100
2005/2/2,1.0458,1.1052,1.0458,1.0755,6866500
2005/2/3,1.0814,1.1052,1.0755,1.0755,2784800
2005/2/4,1.0755,1.0755,1.0636,1.0695,3179000
2005/2/7,1.0695,1.0874,1.0398,1.0517,6455300
2005/2/8,1.0458,1.0755,1.0458,1.0755,434400
2005/2/14,1.0755,1.0755,1.0517,1.0576,2187800
2005/2/15,1.0576,1.0814,1.0576,1.0636,5264400
2005/2/16,1.0755,1.0933,1.0695,1.0755,1322800
2005/2/17,1.0755,1.0814,1.0576,1.0636,2761500
2005/2/18,1.0636,1.0695,1.0576,1.0576,920400
2005/2/21,1.0695,1.0695,1.0042,1.0101,5646700
2005/2/22,1.0101,1.0101,0.9269,0.9507,15454800
2005/2/23,0.9507,1.0101,0.9448,0.9863,14966500
2005/2/24,0.9923,1.0101,0.9804,0.9863,4369300
2005/2/25,0.9923,0.9923,0.9566,0.9685,3216400
2005/2/28,0.9685,0.9923,0.9507,0.9507,10892400
2005/3/1,0.9507,0.9626,0.9507,0.9507,1793300
2005/3/2,0.9626,0.9626,0.9388,0.9448,2377400
2005/3/3,0.9507,0.9507,0.9329,0.9507,2039000
2005/3/4,0.9507,0.9685,0.9448,0.9507,1446900
2005/3/7,0.9507,1.0101,0.9507,0.9982,6980200
2005/3/8,1.0042,1.0042,0.9804,0.9863,519900
2005/3/9,0.9863,1.0042,0.9863,0.9863,2142400
2005/3/10,0.9863,0.9863,0.9745,0.9745,292000
2005/3/11,0.9745,0.9863,0.9745,0.9863,282100
2005/3/14,0.9863,0.9863,0.9745,0.9804,544900
2005/3/15,0.9745,0.9745,0.9626,0.9685,693000
2005/3/16,0.9745,0.9923,0.9745,0.9804,1260000
2005/3/17,0.9804,0.9804,0.9507,0.9566,3698400
2005/3/18,0.9566,0.9626,0.9329,0.9388,3615600
2005/3/21,0.9388,0.9388,0.915,0.9388,5141400
2005/3/22,0.9388,0.9388,0.8972,0.9032,2172000
2005/3/23,0.9091,0.921,0.9032,0.915,1803600
2005/3/24,0.9269,0.9269,0.9091,0.915,2497500
2005/3/25,0.921,0.9269,0.9091,0.921,2357200
2005/3/28,0.921,0.9448,0.915,0.9388,1665600
2005/3/29,0.9388,0.9448,0.915,0.9269,2164300
2005/3/30,0.9388,0.9388,0.915,0.915,496200
2005/3/31,0.921,0.9329,0.915,0.9329,1423000
2005/4/1,0.9329,0.9507,0.9269,0.9448,1387700
2005/4/4,0.9388,0.9388,0.8972,0.8972,2107100
2005/4/5,0.9091,0.915,0.9091,0.9091,415000
2005/4/6,0.9091,0.9091,0.8853,0.8913,7590600
2005/4/7,0.8913,0.921,0.8853,0.915,2714100
2005/4/8,0.921,0.9388,0.9091,0.9269,3985400
2005/4/11,0.9269,0.9388,0.921,0.9329,1524100
2005/4/12,0.9329,0.9329,0.915,0.915,5541100
2005/4/13,0.921,0.9388,0.921,0.9329,7197600
2005/4/14,0.9329,0.9388,0.915,0.921,218400
2005/4/15,0.921,0.9269,0.9091,0.915,1860200
2005/4/18,0.9091,0.921,0.9032,0.9091,789200
2005/4/19,0.9091,0.915,0.8972,0.8972,2680300
2005/4/20,0.9032,0.915,0.8972,0.9032,3238900
2005/4/22,0.915,0.9566,0.915,0.9448,10541600
2005/4/25,0.9448,0.9566,0.9388,0.9566,9422900
2005/4/26,0.9566,0.9566,0.9448,0.9566,2816200
2005/4/27,0.9507,0.9566,0.9507,0.9507,1186500
2005/4/28,0.9507,0.9685,0.9507,0.9566,1607800
2005/4/29,0.9566,0.9685,0.9566,0.9626,2880900
2005/5/3,0.9685,0.9745,0.9566,0.9685,3693900
2005/5/4,0.9745,0.9863,0.9745,0.9804,3256000
2005/5/5,0.9863,0.9923,0.9804,0.9804,2825700
2005/5/6,0.9804,0.9923,0.9804,0.9863,1886600
2005/5/9,0.9804,0.9863,0.9626,0.9863,1672400
2005/5/10,0.9863,0.9923,0.9863,0.9863,1341100
2005/5/11,0.9804,0.9863,0.9685,0.9745,3071100
2005/5/12,0.9745,0.9745,0.9566,0.9685,4534100
2005/5/13,0.9685,0.9685,0.9507,0.9566,2180300
2005/5/16,0.9566,0.9566,0.9388,0.9448,769000
2005/5/17,0.9507,0.9566,0.9448,0.9507,496600
2005/5/18,0.9507,0.9507,0.9388,0.9448,2406500
2005/5/19,0.9507,0.9507,0.915,0.921,3073400
2005/5/20,0.9269,0.9329,0.9091,0.915,2853700
2005/5/24,0.921,0.921,0.8853,0.8972,4928400
2005/5/25,0.8972,0.9091,0.8972,0.9032,2703500
2005/5/26,0.9032,0.9032,0.8556,0.8972,7073600
2005/5/27,0.8913,0.9091,0.8913,0.9091,1304800
2005/5/30,0.9091,0.915,0.9091,0.915,1513100
2005/5/31,0.915,0.921,0.8972,0.915,2382100
2005/6/1,0.9032,0.9091,0.8972,0.9091,243900
2005/6/2,0.9091,0.9091,0.8913,0.9032,377700
2005/6/3,0.9091,0.9269,0.8972,0.9032,885200
2005/6/6,0.9032,0.9269,0.9032,0.921,949300
2005/6/7,0.921,0.9269,0.921,0.9269,176200
2005/6/8,0.9269,0.9448,0.9269,0.9448,487000
2005/6/9,0.9448,0.9507,0.9388,0.9507,283900
2005/6/10,0.9448,0.9507,0.9388,0.9507,321000
2005/6/13,0.9507,0.9804,0.9448,0.9745,2193200
2005/6/14,0.9745,0.9923,0.9745,0.9745,2137300
2005/6/15,0.9804,1.0101,0.9685,0.9982,3765500
2005/6/16,1.0042,1.0279,1.0042,1.0101,4507300
2005/6/17,1.0101,1.0101,0.9923,1.0101,2256800
2005/6/20,1.0101,1.0101,0.9863,1.0042,2916900
2005/6/21,1.0042,1.0042,0.9982,0.9982,5646300
2005/6/22,1.0042,1.0161,0.9982,1.0101,2335300
2005/6/23,1.0101,1.0161,0.9804,0.9804,2809800
2005/6/24,0.9685,0.9745,0.9448,0.9745,953500
2005/6/27,0.9745,0.9745,0.9507,0.9566,1188400
