Date,Open,High,Low,Close,Volume
2019/6/12,0.5761,0.5761,0.4916,0.4966,71187300
2019/6/13,0.5016,0.5214,0.4767,0.5016,21624000
2019/6/14,0.5016,0.5115,0.4916,0.4916,3563500
2019/6/17,0.4966,0.4966,0.432,0.437,30559000
2019/6/18,0.442,0.4668,0.4221,0.4469,27284200
2019/6/19,0.4519,0.4618,0.432,0.437,6465500
2019/6/20,0.442,0.4469,0.4271,0.437,11617800
2019/6/21,0.442,0.4569,0.432,0.442,14367600
2019/6/24,0.437,0.4519,0.437,0.437,2338100
2019/6/25,0.442,0.4519,0.432,0.442,4765400
2019/6/26,0.4469,0.4519,0.437,0.4519,4349000
2019/6/27,0.4519,0.4668,0.4469,0.4519,9782100
2019/6/28,0.4519,0.4519,0.4469,0.4469,1425400
2019/7/1,0.4519,0.4569,0.4469,0.4469,2588000
2019/7/2,0.4519,0.4519,0.442,0.442,3704700
2019/7/3,0.442,0.4469,0.442,0.442,977900
2019/7/4,0.442,0.4519,0.442,0.4519,1578100
2019/7/5,0.4469,0.4519,0.437,0.442,1423500
2019/7/8,0.437,0.442,0.432,0.432,1899800
2019/7/9,0.432,0.437,0.4171,0.4221,4241000
2019/7/10,0.4221,0.4221,0.4122,0.4171,3043300
2019/7/11,0.4171,0.437,0.4122,0.4271,4324200
2019/7/12,0.4271,0.437,0.4271,0.4271,2110300
2019/7/15,0.4271,0.4271,0.4171,0.4171,1771500
2019/7/16,0.4171,0.4221,0.4122,0.4171,1887400
2019/7/17,0.4122,0.4221,0.4122,0.4122,1220600
2019/7/18,0.4122,0.4122,0.4022,0.4022,1680200
2019/7/19,0.4022,0.4122,0.4022,0.4072,810700
2019/7/22,0.4072,0.4122,0.4022,0.4022,593500
2019/7/23,0.4022,0.4122,0.4022,0.4072,1243800
2019/7/24,0.4072,0.4072,0.3973,0.3973,398000
2019/7/25,0.3973,0.4022,0.3973,0.3973,690400
2019/7/26,0.3923,0.3923,0.3874,0.3923,561100
2019/7/29,0.3874,0.3973,0.3874,0.3923,782800
2019/7/31,0.3874,0.4022,0.3874,0.3923,736600
2019/8/1,0.3874,0.3973,0.3874,0.3874,229100
2019/8/2,0.3874,0.3874,0.3774,0.3774,811500
2019/8/5,0.3774,0.3874,0.3774,0.3774,348600
2019/8/6,0.3725,0.3725,0.3576,0.3725,938300
2019/8/7,0.3725,0.3725,0.3476,0.3476,808900
2019/8/8,0.3476,0.3576,0.3476,0.3576,264000
2019/8/9,0.3576,0.3576,0.3526,0.3576,387600
2019/8/13,0.3576,0.3576,0.3327,0.3427,1033300
2019/8/14,0.3427,0.3526,0.3377,0.3427,612500
2019/8/15,0.3377,0.3377,0.3278,0.3278,372900
2019/8/16,0.3278,0.3327,0.3278,0.3278,378600
2019/8/19,0.3278,0.3377,0.3278,0.3327,486000
2019/8/20,0.3327,0.3327,0.3278,0.3327,488500
2019/8/21,0.3278,0.3278,0.3228,0.3228,492200
2019/8/22,0.3228,0.3278,0.3228,0.3278,614600
2019/8/23,0.3228,0.3228,0.3178,0.3228,478300
2019/8/26,0.3228,0.3228,0.3178,0.3228,648100
2019/8/27,0.3228,0.3278,0.3228,0.3228,564000
2019/8/28,0.3228,0.3278,0.3178,0.3278,355600
2019/8/29,0.3278,0.3278,0.3228,0.3278,421400
2019/8/30,0.3278,0.3526,0.3278,0.3377,1583500
2019/9/3,0.3377,0.3427,0.3377,0.3427,286200
2019/9/4,0.3427,0.3476,0.3377,0.3427,1108400
2019/9/5,0.3427,0.3625,0.3377,0.3576,794900
2019/9/6,0.3675,0.3874,0.3675,0.3725,1612400
2019/9/10,0.3725,0.3725,0.3625,0.3625,219000
2019/9/11,0.3625,0.3774,0.3576,0.3625,515400
2019/9/12,0.3625,0.3675,0.3576,0.3625,230700
2019/9/13,0.3675,0.3675,0.3625,0.3625,25800
2019/9/17,0.3675,0.3725,0.3625,0.3625,160500
2019/9/18,0.3625,0.3625,0.3576,0.3625,219700
2019/9/19,0.3576,0.3576,0.3476,0.3476,176000
2019/9/20,0.3476,0.3476,0.3476,0.3476,49000
2019/9/23,0.3476,0.3526,0.3476,0.3526,140500
2019/9/24,0.3526,0.3625,0.3526,0.3526,47000
2019/9/25,0.3476,0.3476,0.3476,0.3476,603000
2019/9/26,0.3427,0.3476,0.3427,0.3476,228500
2019/9/27,0.3476,0.3476,0.3427,0.3427,15000
2019/9/30,0.3427,0.3576,0.3427,0.3476,51100
2019/10/1,0.3476,0.3476,0.3476,0.3476,15000
2019/10/2,0.3476,0.3526,0.3476,0.3526,73000
2019/10/3,0.3476,0.3476,0.3476,0.3476,156500
2019/10/4,0.3476,0.3526,0.3476,0.3476,46000
2019/10/7,0.3476,0.3476,0.3427,0.3427,92100
2019/10/8,0.3427,0.3427,0.3427,0.3427,54900
2019/10/9,0.3427,0.3476,0.3427,0.3476,437100
2019/10/10,0.3476,0.3526,0.3427,0.3526,502000
2019/10/11,0.3526,0.3526,0.3427,0.3526,103900
2019/10/14,0.3526,0.3526,0.3427,0.3427,123000
2019/10/15,0.3476,0.3476,0.3427,0.3476,206100
2019/10/16,0.3476,0.3526,0.3427,0.3476,1655400
2019/10/17,0.3476,0.3526,0.3427,0.3526,260000
2019/10/18,0.3526,0.3973,0.3526,0.3874,2191600
2019/10/21,0.3973,0.4122,0.3923,0.3973,1828200
2019/10/22,0.4022,0.4022,0.3774,0.3824,533600
2019/10/23,0.3774,0.3774,0.3675,0.3675,914600
2019/10/24,0.3675,0.3675,0.3576,0.3625,445600
2019/10/25,0.3576,0.3625,0.3576,0.3576,61100
2019/10/29,0.3576,0.3824,0.3576,0.3774,927900
2019/10/30,0.3824,0.3874,0.3725,0.3774,341800
2019/10/31,0.3774,0.3874,0.3774,0.3774,364000
2019/11/1,0.3725,0.3725,0.3625,0.3625,340600
2019/11/4,0.3625,0.3675,0.3625,0.3675,175000
2019/11/5,0.3625,0.3675,0.3625,0.3625,445400
2019/11/6,0.3675,0.3973,0.3675,0.3973,1500800
2019/11/7,0.4022,0.4171,0.4022,0.4122,1726200
2019/11/8,0.4122,0.4122,0.4022,0.4022,578000
2019/11/11,0.4022,0.4171,0.4022,0.4122,932900
2019/11/12,0.4122,0.442,0.4122,0.432,3259600
2019/11/13,0.437,0.437,0.4122,0.4122,1252200
2019/11/14,0.4122,0.4221,0.4072,0.4171,415300
2019/11/15,0.4171,0.4171,0.4072,0.4072,723500
2019/11/18,0.4072,0.4122,0.4022,0.4122,340600
2019/11/19,0.4122,0.4122,0.4022,0.4022,487300
2019/11/20,0.4072,0.4072,0.4072,0.4072,584300
2019/11/21,0.4072,0.4072,0.3923,0.4022,654300
2019/11/22,0.4022,0.4072,0.3973,0.3973,205600
2019/11/25,0.4022,0.4022,0.3923,0.3973,495900
2019/11/26,0.3973,0.3973,0.3973,0.3973,244600
2019/11/27,0.3973,0.3973,0.3874,0.3973,210800
2019/11/28,0.3874,0.3923,0.3874,0.3923,200900
2019/11/29,0.3973,0.4171,0.3973,0.4072,653000
2019/12/2,0.4072,0.4171,0.4072,0.4171,707700
2019/12/3,0.4221,0.4271,0.4122,0.4122,1190000
2019/12/4,0.4122,0.4171,0.4072,0.4122,272200
2019/12/5,0.4171,0.4221,0.4122,0.4122,264700
2019/12/6,0.4171,0.4171,0.4122,0.4171,250700
2019/12/9,0.4221,0.4221,0.4122,0.4171,49200
2019/12/10,0.4171,0.4171,0.4072,0.4122,211000
2019/12/11,0.4072,0.4072,0.3973,0.4022,390600
2019/12/12,0.4022,0.4022,0.3923,0.3973,171900
2019/12/13,0.3973,0.3973,0.3973,0.3973,125000
2019/12/16,0.3923,0.3973,0.3923,0.3973,102500
2019/12/17,0.3973,0.3973,0.3874,0.3874,385000
2019/12/18,0.3824,0.3824,0.3774,0.3774,953400
2019/12/19,0.3824,0.3874,0.3774,0.3824,159000
2019/12/20,0.3774,0.3774,0.3774,0.3774,610400
2019/12/23,0.3725,0.3824,0.3725,0.3725,278000
2019/12/24,0.3725,0.3824,0.3725,0.3774,553400
2019/12/26,0.3774,0.3774,0.3725,0.3725,64900
2019/12/27,0.3774,0.3923,0.3774,0.3824,1182400
2019/12/30,0.3874,0.3874,0.3824,0.3824,256500
2019/12/31,0.3824,0.3923,0.3824,0.3874,387800
2020/1/2,0.3874,0.3874,0.3824,0.3874,640100
2020/1/3,0.3923,0.4022,0.3923,0.3973,950600
2020/1/6,0.3973,0.3973,0.3923,0.3973,127000
2020/1/7,0.3973,0.3973,0.3973,0.3973,181900
2020/1/8,0.3973,0.3973,0.3874,0.3874,296400
2020/1/9,0.3923,0.3923,0.3923,0.3923,29000
2020/1/10,0.3874,0.4022,0.3874,0.3923,491000
2020/1/13,0.3923,0.4072,0.3923,0.4072,534000
2020/1/14,0.4072,0.4122,0.4072,0.4122,707600
