Date	Open	High	Low	Close	Volume
2009/11/25	0.1369	0.1688	0.1144	0.1191	20388800
2009/11/26	0.1172	0.1219	0.1134	0.1191	965900
2009/11/30	0.1144	0.1191	0.1144	0.1172	629300
2009/12/1	0.1144	0.1163	0.1088	0.1144	1442100
2009/12/2	0.1134	0.1144	0.1088	0.1097	2507200
2009/12/3	0.1106	0.1238	0.1106	0.1172	1864500
2009/12/4	0.1191	0.1313	0.1191	0.1219	3986700
2009/12/7	0.1209	0.1209	0.1163	0.1163	544000
2009/12/8	0.1181	0.1181	0.1144	0.1181	637300
2009/12/9	0.1191	0.1219	0.1163	0.1191	501300
2009/12/10	0.1153	0.1181	0.1125	0.1181	1128500
2009/12/11	0.1163	0.1209	0.1163	0.1209	112000
2009/12/14	0.1153	0.1153	0.1134	0.1144	232000
2009/12/15	0.1144	0.1172	0.1134	0.1134	432000
2009/12/16	0.1153	0.1153	0.1134	0.1134	117900
2009/12/17	0.1153	0.1181	0.1134	0.1134	254400
2009/12/21	0.1134	0.1153	0.1134	0.1134	160000
2009/12/22	0.1134	0.1153	0.1116	0.1153	218700
2009/12/23	0.1153	0.1172	0.1134	0.1172	218700
2009/12/24	0.1172	0.1303	0.1153	0.1303	299200
2009/12/28	0.1247	0.1247	0.1153	0.1153	79500
2009/12/29	0.1153	0.1153	0.1153	0.1153	53300
2009/12/30	0.1163	0.1163	0.1163	0.1163	128500
2009/12/31	0.1181	0.1191	0.1163	0.1181	266700
2010/1/4	0.12	0.12	0.1181	0.1181	272000
2010/1/5	0.12	0.1219	0.1191	0.12	677300
2010/1/6	0.12	0.12	0.12	0.12	80000
2010/1/7	0.1219	0.1256	0.12	0.1219	488000
2010/1/8	0.12	0.12	0.1191	0.1191	418700
2010/1/11	0.1219	0.1219	0.12	0.12	170700
2010/1/12	0.1209	0.1228	0.1209	0.1228	88000
2010/1/13	0.1219	0.1313	0.1219	0.1294	2497600
2010/1/14	0.1313	0.1397	0.1313	0.1397	2359500
2010/1/15	0.1397	0.1425	0.135	0.1388	1019700
2010/1/18	0.1378	0.1425	0.1359	0.1425	1614900
2010/1/19	0.1406	0.1406	0.1388	0.1388	693300
2010/1/20	0.1397	0.1397	0.1359	0.1359	859700
2010/1/21	0.1359	0.1388	0.1331	0.1359	520000
2010/1/22	0.1359	0.1369	0.1359	0.1369	202700
2010/1/25	0.1369	0.1519	0.1369	0.15	2208000
2010/1/26	0.1462	0.1462	0.1416	0.1425	528000
2010/1/27	0.1425	0.1425	0.1397	0.1406	597300
2010/1/28	0.1425	0.1425	0.1388	0.1397	432000
2010/1/29	0.1416	0.1425	0.1406	0.1406	202700
2010/2/2	0.1434	0.1566	0.1425	0.1491	1542400
2010/2/3	0.1491	0.1491	0.1472	0.1472	213300
2010/2/4	0.1453	0.1481	0.1453	0.1472	372800
2010/2/5	0.1425	0.1481	0.1425	0.1481	805300
2010/2/8	0.15	0.15	0.1453	0.1472	640000
