Date	Open	High	Low	Close	Volume
2014/12/15	0.33	0.33	0.28	0.295	25123400
2014/12/16	0.29	0.3	0.29	0.3	901700
2014/12/17	0.295	0.32	0.295	0.32	4109000
2014/12/18	0.32	0.34	0.3	0.33	19092500
2014/12/19	0.33	0.36	0.33	0.355	15969400
2014/12/22	0.355	0.375	0.35	0.355	27840900
2014/12/23	0.35	0.36	0.335	0.335	13947500
2014/12/24	0.335	0.34	0.285	0.29	22566600
2014/12/26	0.29	0.3	0.275	0.28	27819900
2014/12/29	0.28	0.29	0.255	0.265	33713900
2014/12/30	0.26	0.27	0.25	0.26	17655500
2014/12/31	0.26	0.27	0.23	0.235	39077900
2015/1/2	0.235	0.24	0.215	0.235	17961200
2015/1/5	0.235	0.24	0.22	0.225	6957400
2015/1/6	0.215	0.235	0.11	0.23	42020100
2015/1/7	0.23	0.23	0.195	0.2	10476200
2015/1/8	0.21	0.215	0.195	0.205	9489400
2015/1/9	0.21	0.21	0.195	0.2	5521800
2015/1/12	0.2	0.225	0.195	0.215	24648200
2015/1/13	0.215	0.225	0.21	0.22	13978700
2015/1/14	0.215	0.22	0.215	0.215	4858300
2015/1/15	0.22	0.235	0.22	0.22	22495700
2015/1/16	0.22	0.22	0.215	0.215	4179000
2015/1/19	0.215	0.215	0.21	0.21	2530400
2015/1/20	0.21	0.215	0.205	0.21	2214500
2015/1/21	0.21	0.22	0.205	0.21	10038900
2015/1/22	0.215	0.22	0.21	0.22	4226200
2015/1/23	0.215	0.22	0.21	0.21	1901600
2015/1/26	0.21	0.21	0.205	0.205	1704400
2015/1/27	0.21	0.21	0.205	0.205	2209500
2015/1/28	0.205	0.21	0.2	0.21	2481600
2015/1/29	0.205	0.21	0.205	0.21	2513900
2015/1/30	0.21	0.215	0.205	0.21	2572100
2015/2/4	0.21	0.215	0.205	0.21	2464200
2015/2/5	0.21	0.24	0.205	0.235	22931600
2015/2/6	0.24	0.275	0.24	0.27	51516400
2015/2/9	0.275	0.29	0.27	0.27	36052700
2015/2/10	0.27	0.27	0.255	0.255	7310600
2015/2/11	0.26	0.275	0.25	0.265	10813500
2015/2/12	0.265	0.27	0.25	0.255	5839400
2015/2/13	0.26	0.28	0.255	0.265	18447700
2015/2/16	0.28	0.325	0.27	0.32	59486200
2015/2/17	0.33	0.33	0.305	0.305	24523800
2015/2/18	0.305	0.32	0.305	0.315	7109300
2015/2/23	0.315	0.355	0.315	0.345	37791600
2015/2/24	0.345	0.35	0.315	0.32	20733400
2015/2/25	0.32	0.35	0.32	0.335	23367700
2015/2/26	0.34	0.34	0.325	0.325	7289000
2015/2/27	0.33	0.33	0.31	0.32	13784400
2015/3/2	0.315	0.315	0.295	0.295	15200500
2015/3/3	0.295	0.31	0.295	0.295	8119800
2015/3/4	0.3	0.305	0.285	0.29	4973200
2015/3/5	0.29	0.29	0.26	0.275	10702500
2015/3/6	0.275	0.305	0.275	0.3	25917500
2015/3/9	0.305	0.325	0.3	0.315	19464300
2015/3/10	0.32	0.325	0.305	0.315	5171600
2015/3/11	0.305	0.33	0.305	0.325	13723300
2015/3/12	0.325	0.345	0.32	0.325	21904400
2015/3/13	0.325	0.325	0.31	0.31	6350200
2015/3/16	0.315	0.315	0.3	0.305	1923100
2015/3/17	0.305	0.32	0.295	0.305	6791800
2015/3/18	0.305	0.305	0.29	0.295	6121800
2015/3/19	0.3	0.305	0.295	0.3	2891300
2015/3/20	0.3	0.3	0.29	0.295	2307600
2015/3/23	0.295	0.3	0.29	0.295	2634900
2015/3/24	0.295	0.295	0.28	0.285	4507600
2015/3/25	0.285	0.33	0.285	0.325	30749600
2015/3/26	0.33	0.33	0.315	0.32	11418600
2015/3/27	0.315	0.32	0.31	0.315	4700600
2015/3/30	0.315	0.32	0.305	0.305	4495100
2015/3/31	0.31	0.32	0.3	0.305	9993400
2015/4/1	0.305	0.31	0.305	0.305	6214800
2015/4/2	0.315	0.335	0.31	0.33	29308400
2015/4/3	0.335	0.35	0.335	0.335	21361000
2015/4/6	0.335	0.345	0.325	0.345	16654100
2015/4/7	0.345	0.355	0.34	0.34	12766100
2015/4/8	0.34	0.345	0.33	0.335	5801000
2015/4/9	0.34	0.34	0.33	0.335	3990400
2015/4/10	0.335	0.35	0.335	0.35	15270400
2015/4/13	0.36	0.395	0.36	0.39	49263400
2015/4/14	0.39	0.4	0.38	0.38	28597700
2015/4/15	0.38	0.395	0.38	0.39	10893500
2015/4/16	0.39	0.415	0.39	0.41	24877900
2015/4/17	0.41	0.415	0.4	0.4	14263200
2015/4/20	0.395	0.41	0.39	0.4	9887700
2015/4/21	0.4	0.415	0.395	0.41	13730300
2015/4/22	0.41	0.41	0.39	0.395	9880400
2015/4/23	0.395	0.405	0.39	0.395	5378700
2015/4/24	0.4	0.405	0.385	0.385	7963900
2015/4/27	0.385	0.39	0.36	0.36	10276000
2015/4/28	0.355	0.365	0.335	0.34	10594000
2015/4/29	0.34	0.355	0.34	0.355	7726900
2015/4/30	0.355	0.355	0.335	0.345	3489800
2015/5/5	0.345	0.345	0.33	0.335	7583800
2015/5/6	0.335	0.345	0.325	0.34	5897600
2015/5/7	0.34	0.36	0.335	0.345	14662600
