Date	Open	High	Low	Close	Volume
2012/7/17	0.2427	0.262	0.2234	0.2454	86579000
2012/7/18	0.2454	0.2509	0.2372	0.2427	7674400
2012/7/19	0.2427	0.2427	0.2372	0.2399	1541400
2012/7/20	0.2372	0.2427	0.2372	0.2399	3714400
2012/7/23	0.2372	0.2372	0.2234	0.2289	16150500
2012/7/24	0.2261	0.2344	0.2261	0.2344	4463600
2012/7/25	0.2316	0.2427	0.2316	0.2427	7224200
2012/7/26	0.2399	0.2399	0.2316	0.2344	3218400
2012/7/27	0.2344	0.2372	0.2289	0.2372	4570400
2012/7/30	0.2372	0.2372	0.2289	0.2289	1526700
2012/7/31	0.2316	0.2316	0.2261	0.2289	1782300
2012/8/1	0.2289	0.2454	0.2261	0.2372	7252300
2012/8/2	0.2372	0.2399	0.2316	0.2399	223700
2012/8/3	0.2344	0.2399	0.2344	0.2399	324700
2012/8/6	0.2399	0.2509	0.2344	0.2454	11771000
2012/8/7	0.2454	0.2482	0.2399	0.2399	4753400
2012/8/8	0.2399	0.2454	0.2399	0.2454	2073300
2012/8/9	0.2427	0.2454	0.2344	0.2427	2074600
2012/8/10	0.2399	0.2427	0.2289	0.2316	6898700
2012/8/13	0.2316	0.2344	0.2316	0.2344	576600
2012/8/14	0.2344	0.2344	0.2344	0.2344	433300
2012/8/15	0.2372	0.2372	0.2344	0.2344	1269200
2012/8/16	0.2372	0.2372	0.2316	0.2316	759200
2012/8/17	0.2344	0.2372	0.2344	0.2372	670000
2012/8/22	0.2399	0.262	0.2372	0.2509	7641200
2012/8/23	0.2592	0.273	0.2537	0.273	11723200
2012/8/24	0.273	0.2813	0.2675	0.273	11892900
2012/8/27	0.2702	0.273	0.2675	0.2702	3194100
2012/8/28	0.2675	0.2702	0.2675	0.2702	2706100
2012/8/29	0.2702	0.2813	0.262	0.2647	18569800
2012/8/30	0.2675	0.2675	0.2537	0.2565	5544600
2012/9/3	0.2565	0.2592	0.2509	0.2537	894800
2012/9/4	0.2537	0.2537	0.2482	0.2509	1921900
2012/9/5	0.2482	0.2509	0.2427	0.2482	5969100
2012/9/6	0.2482	0.2537	0.2399	0.2509	5372400
2012/9/7	0.2537	0.2537	0.2509	0.2537	2041600
2012/9/10	0.2537	0.2592	0.2537	0.2592	1905600
2012/9/11	0.2592	0.2647	0.2592	0.2647	1984100
2012/9/12	0.2647	0.2758	0.2647	0.273	4588000
2012/9/13	0.273	0.2758	0.2702	0.2702	3631800
2012/9/14	0.2702	0.273	0.2675	0.2675	266500
2012/9/18	0.2675	0.2675	0.262	0.2675	787300
2012/9/19	0.2675	0.273	0.262	0.2702	2269300
2012/9/20	0.2702	0.2702	0.262	0.2647	1892600
2012/9/21	0.262	0.2647	0.262	0.2647	148500
2012/9/24	0.2647	0.2647	0.2565	0.2565	798000
2012/9/25	0.2565	0.2592	0.2565	0.2565	572800
2012/9/26	0.2565	0.2565	0.2509	0.2537	963000
2012/9/27	0.2509	0.2537	0.2509	0.2509	687000
2012/9/28	0.2537	0.2537	0.2537	0.2537	174100
2012/10/1	0.2537	0.262	0.2537	0.262	899300
2012/10/2	0.262	0.262	0.2592	0.262	538500
2012/10/3	0.262	0.262	0.2565	0.262	792500
2012/10/4	0.262	0.2675	0.262	0.2647	687200
2012/10/5	0.262	0.2647	0.262	0.2647	118800
2012/10/8	0.2592	0.2647	0.2565	0.262	358500
2012/10/9	0.262	0.262	0.2592	0.262	145200
2012/10/10	0.262	0.262	0.2509	0.2565	1291000
2012/10/11	0.2537	0.2565	0.2509	0.2537	442600
2012/10/12	0.2537	0.2537	0.2509	0.2537	878800
2012/10/15	0.2509	0.2537	0.2509	0.2537	264700
2012/10/16	0.2537	0.2537	0.2482	0.2482	791600
2012/10/17	0.2509	0.2537	0.2509	0.2509	175900
2012/10/18	0.2537	0.2592	0.2509	0.2592	42800
2012/10/19	0.2537	0.262	0.2537	0.262	94100
2012/10/22	0.2592	0.2647	0.2509	0.2647	324700
2012/10/23	0.2592	0.2592	0.2565	0.2565	74300
2012/10/24	0.2537	0.262	0.2537	0.2537	239300
2012/10/25	0.2565	0.2592	0.2565	0.2592	83200
2012/10/29	0.2592	0.2592	0.2565	0.2565	175900
2012/10/30	0.2565	0.2565	0.2537	0.2565	402500
2012/10/31	0.2537	0.2565	0.2509	0.2565	194000
2012/11/1	0.2537	0.2565	0.2537	0.2565	107000
2012/11/2	0.2537	0.2592	0.2509	0.2592	308200
2012/11/5	0.2565	0.2592	0.2509	0.2592	1287500
2012/11/6	0.2565	0.2592	0.2537	0.2592	244800
2012/11/7	0.2565	0.2565	0.2537	0.2537	90700
2012/11/8	0.2537	0.262	0.2509	0.262	241300
2012/11/9	0.262	0.262	0.2537	0.2537	402500
2012/11/12	0.2537	0.2565	0.2537	0.2565	39900
2012/11/14	0.2565	0.2565	0.2565	0.2565	86900
2012/11/16	0.2592	0.2592	0.2509	0.2537	538000
2012/11/19	0.2565	0.2565	0.2537	0.2565	47100
2012/11/20	0.2565	0.2592	0.2509	0.2592	343000
2012/11/21	0.2592	0.262	0.2565	0.2592	188600
2012/11/22	0.2592	0.2592	0.2565	0.2565	72500
2012/11/23	0.2565	0.2592	0.2537	0.2565	177700
2012/11/26	0.2565	0.2565	0.2509	0.2509	497900
2012/11/27	0.2509	0.2509	0.2454	0.2509	620500
2012/11/28	0.2509	0.2537	0.2509	0.2537	92500
