Date	Open	High	Low	Close	Volume
1998/3/5	0.1462	0.156	0.1433	0.156	3120000
1998/3/6	0.153	0.153	0.1511	0.1511	520000
1998/3/9	0.1462	0.1462	0.1384	0.1384	140000
1998/3/10	0.1452	0.1457	0.1452	0.1457	80000
1998/3/11	0.1462	0.1462	0.1404	0.1452	180000
1998/3/12	0.1443	0.1443	0.1365	0.1365	120000
1998/3/13	0.1375	0.1375	0.1345	0.1365	320000
1998/3/16	0.1462	0.1462	0.1452	0.1452	40000
1998/3/17	0.1375	0.1375	0.1345	0.1345	140000
1998/3/19	0.134	0.134	0.134	0.134	20000
1998/3/20	0.1345	0.1345	0.1345	0.1345	20000
1998/3/23	0.134	0.134	0.1316	0.1316	40000
1998/3/24	0.1452	0.1452	0.1326	0.1326	60000
1998/4/1	0.1443	0.1443	0.1443	0.1443	20000
1998/4/2	0.1438	0.1438	0.1316	0.1316	80000
1998/4/13	0.1316	0.1316	0.1316	0.1316	60000
1998/4/14	0.1219	0.1219	0.1219	0.1219	20000
1998/4/16	0.117	0.1292	0.117	0.1292	40000
1998/4/20	0.1311	0.135	0.1311	0.135	100000
1998/4/29	0.1019	0.1233	0.0989	0.1233	140000
1998/4/30	0.1267	0.1448	0.1267	0.1448	80000
1998/5/29	0.117	0.117	0.117	0.117	20000
1998/6/1	0.1389	0.1389	0.1389	0.1389	20000
1998/6/19	0.1219	0.1219	0.1219	0.1219	20000
1998/6/23	0.1087	0.1087	0.1087	0.1087	20000
1998/6/30	0.1121	0.1253	0.1121	0.1253	40000
1998/7/1	0.136	0.136	0.136	0.136	20000
1998/7/2	0.1072	0.135	0.1072	0.135	40000
1998/7/10	0.0999	0.1462	0.0999	0.1462	120000
1998/7/13	0.1145	0.1145	0.1145	0.1145	20000
1998/7/14	0.1121	0.1121	0.1121	0.1121	20000
1998/7/15	0.135	0.135	0.135	0.135	20000
1998/7/16	0.0999	0.1292	0.0999	0.1292	40000
1998/7/20	0.1355	0.1355	0.1355	0.1355	20000
1998/8/5	0.1009	0.135	0.1009	0.135	40000
1998/8/6	0.0989	0.135	0.0989	0.135	40000
1998/8/7	0.1072	0.134	0.1038	0.134	140000
1998/8/10	0.1028	0.1316	0.1019	0.1316	260000
1998/8/13	0.1111	0.1262	0.1106	0.1262	60000
1998/8/26	0.1014	0.1243	0.1014	0.1243	60000
1998/9/7	0.1306	0.1306	0.1306	0.1306	40000
1998/9/21	0.1121	0.1121	0.1121	0.1121	20000
1998/9/25	0.0819	0.1063	0.0819	0.1063	40000
1998/10/13	0.0863	0.1063	0.0863	0.1063	80000
1998/10/16	0.0916	0.1121	0.0916	0.1121	40000
1998/10/26	0.0975	0.1121	0.0975	0.1121	40000
1998/11/9	0.116	0.116	0.116	0.116	80000
1998/11/11	0.1219	0.1219	0.1219	0.1219	20000
1998/11/12	0.117	0.1219	0.117	0.1219	40000
1998/11/19	0.1121	0.1219	0.1121	0.1219	40000
1998/11/23	0.1228	0.1228	0.1228	0.1228	20000
1998/11/24	0.1228	0.1228	0.1228	0.1228	20000
1998/11/27	0.1365	0.1365	0.1365	0.1365	80000
1998/12/1	0.1365	0.1452	0.1365	0.1384	200000
1998/12/2	0.1404	0.1452	0.1384	0.1414	1020000
1998/12/3	0.1414	0.1414	0.1414	0.1414	280000
1998/12/4	0.1414	0.1443	0.1404	0.1443	320000
1998/12/7	0.1511	0.1599	0.1482	0.1589	2440000
1998/12/8	0.156	0.1599	0.1511	0.156	820000
1998/12/9	0.1579	0.1599	0.1472	0.156	600000
1998/12/10	0.1608	0.1608	0.155	0.155	540000
1998/12/11	0.1418	0.1418	0.1418	0.1418	20000
1998/12/14	0.153	0.153	0.1438	0.1452	520000
1998/12/15	0.1462	0.1462	0.134	0.1355	700000
1998/12/16	0.1384	0.1384	0.1292	0.1375	180000
1998/12/17	0.1223	0.137	0.1223	0.1292	140000
1998/12/18	0.1306	0.1365	0.1306	0.1365	200000
1998/12/21	0.1292	0.1306	0.117	0.117	220000
1998/12/22	0.1301	0.1301	0.1131	0.1131	180000
1998/12/23	0.1355	0.1355	0.1267	0.1316	100000
1998/12/24	0.1355	0.136	0.1209	0.1209	140000
1998/12/28	0.117	0.1194	0.1121	0.1121	80000
1998/12/29	0.117	0.117	0.1121	0.1126	120000
1998/12/30	0.1209	0.1209	0.1209	0.1209	20000
1998/12/31	0.1306	0.1306	0.1306	0.1306	20000
1999/1/4	0.1262	0.1311	0.1248	0.1311	160000
1999/1/5	0.1311	0.1311	0.1306	0.1306	60000
1999/1/6	0.1306	0.1306	0.1306	0.1306	20000
1999/1/12	0.1267	0.1267	0.1267	0.1267	20000
1999/1/22	0.1267	0.1267	0.1267	0.1267	40000
1999/2/2	0.1219	0.1219	0.1219	0.1219	20000
1999/2/18	0.1243	0.1243	0.1243	0.1243	40000
1999/3/22	0.1121	0.1121	0.0975	0.0975	40000
1999/3/25	0.1243	0.1243	0.1243	0.1243	20000
1999/4/1	0.116	0.116	0.116	0.116	20000
1999/4/9	0.116	0.116	0.116	0.116	20000
1999/4/13	0.1194	0.1243	0.1194	0.1243	100000
1999/4/15	0.0877	0.1194	0.0877	0.1194	120000
1999/4/16	0.1194	0.1243	0.1194	0.1219	60000
1999/4/19	0.1209	0.1209	0.1209	0.1209	20000
1999/4/26	0.1209	0.1209	0.1209	0.1209	20000
1999/4/29	0.1199	0.1199	0.1199	0.1199	20000
1999/4/30	0.1223	0.1223	0.1223	0.1223	20000
1999/5/4	0.1145	0.1145	0.1145	0.1145	20000
1999/5/6	0.1214	0.1365	0.1214	0.1365	320000
1999/5/7	0.155	0.155	0.1365	0.1365	60000
1999/5/27	0.1248	0.1365	0.1248	0.1365	40000
1999/5/28	0.1223	0.1223	0.1194	0.1194	60000
1999/5/31	0.1131	0.1131	0.1131	0.1131	20000
1999/6/3	0.1267	0.1267	0.1267	0.1267	20000
1999/6/7	0.117	0.117	0.117	0.117	40000
1999/6/8	0.1214	0.1214	0.1214	0.1214	60000
1999/6/15	0.1219	0.1219	0.117	0.117	80000
1999/6/16	0.1219	0.1219	0.1219	0.1219	20000
1999/6/24	0.1219	0.1219	0.1219	0.1219	40000
1999/7/2	0.1219	0.1219	0.1219	0.1219	20000
1999/7/5	0.0887	0.1365	0.0887	0.1365	40000
1999/7/7	0.1394	0.1414	0.1394	0.1404	120000
1999/7/8	0.1414	0.1414	0.1404	0.1414	140000
1999/7/9	0.1414	0.1423	0.1414	0.1414	100000
1999/7/12	0.1457	0.1589	0.1457	0.1589	980000
1999/7/13	0.1706	0.1706	0.156	0.1647	460000
1999/7/14	0.1657	0.194	0.1657	0.194	2320000
1999/7/15	0.1998	0.2154	0.1979	0.2086	3820000
1999/7/16	0.2145	0.2145	0.2067	0.2135	3720000
1999/7/19	0.2076	0.2291	0.2076	0.2184	4940000
1999/7/20	0.2193	0.2193	0.2076	0.2193	820000
1999/7/21	0.2193	0.2291	0.2184	0.2281	4780000
1999/7/22	0.234	0.2632	0.234	0.2559	8960000
1999/7/23	0.2583	0.2583	0.2461	0.2559	4900000
1999/7/26	0.2583	0.2583	0.234	0.234	2280000
1999/7/27	0.234	0.2535	0.232	0.251	1800000
1999/7/28	0.2535	0.2583	0.2291	0.2379	2580000
1999/7/29	0.2193	0.234	0.2106	0.2125	2280000
1999/7/30	0.2125	0.2291	0.1842	0.2037	3660000
1999/8/2	0.2018	0.2018	0.1647	0.1852	3880000
1999/8/3	0.1872	0.1979	0.1696	0.1979	1400000
1999/8/4	0.1989	0.1989	0.1667	0.1677	820000
1999/8/5	0.1706	0.1716	0.1618	0.1638	1740000
1999/8/6	0.1638	0.1638	0.1501	0.153	1800000
1999/8/9	0.137	0.1511	0.116	0.1511	1580000
1999/8/10	0.1511	0.1657	0.1394	0.1599	1980000
1999/8/11	0.1628	0.1647	0.1462	0.1647	520000
1999/8/12	0.1696	0.1696	0.1501	0.1569	1280000
1999/8/13	0.1647	0.1852	0.1608	0.1852	2580000
1999/8/16	0.1852	0.194	0.1852	0.1891	2280000
