Date	Open	High	Low	Close	Volume
2007/10/9	5.4125	6.271	5.4125	6.1964	648300
2007/10/10	6.271	6.5697	6.271	6.5697	1206600
2007/10/11	6.5697	6.7563	6.383	6.4577	237600
2007/10/12	6.383	6.4204	6.3457	6.383	42700
2007/10/16	6.4577	6.495	6.383	6.4204	225000
2007/10/17	6.4204	6.4204	6.0844	6.1964	861200
2007/10/18	5.9724	6.1591	5.7111	6.0471	5154400
2007/10/19	6.0098	6.0098	5.6365	5.6365	2866000
2007/10/22	5.3752	5.5991	5.1512	5.4125	5886500
2007/10/23	5.4498	5.5618	5.3752	5.5245	3587300
2007/10/24	5.5618	6.1964	5.5618	6.0471	9772800
2007/10/25	6.0844	6.6817	6.0844	6.3084	8343000
2007/10/26	6.3457	6.8683	6.3457	6.831	5541500
2007/10/29	6.9429	6.9429	6.5697	6.7936	9205200
2007/10/30	6.7936	6.7936	6.4577	6.719	2161100
2007/10/31	6.6443	7.2789	6.5697	7.0923	4409700
2007/11/1	7.0923	7.1296	6.8683	6.9803	2437500
2007/11/2	6.719	6.831	6.4204	6.5697	4990500
2007/11/5	6.5697	6.7563	6.1964	6.4204	5092100
2007/11/6	6.4204	6.607	6.4204	6.5323	2236900
2007/11/7	6.607	6.831	6.4204	6.5323	2396300
2007/11/9	6.4577	6.4577	6.2337	6.271	3169500
2007/11/12	6.1591	6.1591	5.7485	5.9351	3685300
2007/11/13	5.9351	6.0098	5.7111	5.9724	4707400
2007/11/14	6.1217	6.2337	5.9351	5.9724	5280900
2007/11/15	5.9724	6.2337	5.7858	5.8604	3437100
2007/11/16	5.8231	5.8978	5.6738	5.7858	3160400
2007/11/19	5.8604	6.0098	5.8231	5.9724	2744600
2007/11/20	5.9351	5.9724	5.7858	5.9351	3299600
2007/11/21	5.9351	5.9351	5.6365	5.6738	4055700
2007/11/22	5.5991	5.6738	5.5245	5.5245	5446600
2007/11/23	5.5618	5.6738	5.5245	5.6365	1843100
2007/11/26	5.8604	6.0098	5.7858	6.0098	3418800
2007/11/27	6.0471	6.0471	5.7858	5.9351	8195100
2007/11/28	6.0471	6.1217	5.9724	6.0471	5103200
2007/11/29	6.0844	6.271	6.0844	6.2337	3933300
2007/11/30	6.271	6.719	6.2337	6.5323	5242500
2007/12/3	6.5697	6.9803	6.495	6.9429	5798400
2007/12/4	6.8683	7.3162	6.8683	7.0176	10232600
2007/12/5	7.0176	7.0923	6.8683	7.0176	2266300
2007/12/6	7.0549	7.0923	6.9056	7.0176	4301100
2007/12/7	7.0176	7.2789	6.9803	7.2789	5369100
2007/12/10	7.2789	7.3535	7.2042	7.2789	2936300
2007/12/11	7.2416	7.3162	7.1669	7.2042	714300
2007/12/12	7.0923	7.0923	6.9056	7.0176	1287100
2007/12/13	7.0176	7.0176	6.6443	6.6817	1652900
2007/12/14	6.719	6.719	6.383	6.495	1176100
2007/12/17	6.495	6.495	6.3084	6.4577	868800
2007/12/18	6.3457	6.831	6.3457	6.7936	2699600
2007/12/19	6.7936	6.9429	6.607	6.831	3060500
2007/12/21	6.6443	7.1296	6.6443	7.0923	2451900
