Date	Open	High	Low	Close	Volume
1995/6/12	0.2488	0.273	0.2417	0.2687	15048000
1995/6/13	0.2687	0.2687	0.2417	0.246	1521100
1995/6/14	0.246	0.2588	0.2432	0.2588	1370300
1995/6/15	0.256	0.2687	0.256	0.2659	1609100
1995/6/16	0.2673	0.2815	0.2659	0.2702	4475400
1995/6/19	0.2702	0.2702	0.2631	0.2631	603400
1995/6/20	0.2645	0.2773	0.2631	0.2759	2024000
1995/6/21	0.2773	0.3029	0.2759	0.2943	9780600
1995/6/22	0.2972	0.3071	0.2958	0.3	4173700
1995/6/23	0.2986	0.3029	0.2915	0.2929	2174900
1995/6/26	0.2915	0.2986	0.2858	0.2929	1382900
1995/6/27	0.2943	0.2972	0.2915	0.2972	2514300
1995/6/28	0.2958	0.2958	0.283	0.283	1018300
1995/6/29	0.2844	0.2844	0.2787	0.2801	993100
1995/6/30	0.2773	0.2787	0.2759	0.2773	1156600
1995/7/3	0.2702	0.2702	0.2588	0.2602	2149700
1995/7/4	0.2631	0.273	0.2631	0.2702	842300
1995/7/5	0.273	0.273	0.2645	0.2645	729100
1995/7/6	0.2659	0.2687	0.2659	0.2687	427400
1995/7/7	0.2716	0.2773	0.2716	0.2773	754300
1995/7/10	0.2787	0.2787	0.2744	0.2787	792000
1995/7/11	0.2744	0.2815	0.273	0.2815	766900
1995/7/12	0.2801	0.2972	0.2801	0.2901	5669700
1995/7/13	0.2915	0.3043	0.2901	0.3015	5556600
1995/7/14	0.3029	0.3327	0.3029	0.3228	10572600
1995/7/17	0.3242	0.3313	0.3143	0.3199	2992000
1995/7/18	0.3171	0.3313	0.3157	0.3256	5041100
1995/7/19	0.3199	0.347	0.3199	0.3427	7844600
1995/7/20	0.3413	0.3626	0.3384	0.3455	6637700
1995/7/21	0.347	0.359	0.347	0.359	7354300
1995/7/24	0.3555	0.359	0.3441	0.3555	4173700
1995/7/25	0.3484	0.3662	0.3484	0.3662	3092600
1995/7/26	0.3697	0.3875	0.3662	0.3768	4312000
1995/7/27	0.3804	0.3804	0.3662	0.3733	968000
1995/7/28	0.3697	0.3697	0.3555	0.3626	1093700
1995/7/31	0.3626	0.3662	0.3555	0.359	905100
1995/8/1	0.3626	0.3768	0.3626	0.3662	1948600
1995/8/2	0.3697	0.3981	0.3697	0.3804	5518900
1995/8/3	0.3839	0.3875	0.3697	0.3697	741700
1995/8/4	0.3697	0.3733	0.3626	0.3662	1056000
1995/8/7	0.3662	0.3662	0.359	0.3662	1508600
1995/8/8	0.3662	0.3662	0.359	0.359	628600
