Date	Open	High	Low	Close	Volume
1996/11/25	4.1667	4.1667	3.6667	3.6833	14615400
1996/11/26	3.7	4.0167	3.7	3.9167	9478800
1996/11/27	3.9333	4.6667	3.9167	4.3333	12059400
1996/11/28	4.3667	4.5167	4.3333	4.4333	5491200
1996/11/29	4.4333	4.4833	4.3	4.3667	4401000
1996/12/2	4.3833	4.4333	4.0833	4.1167	2139000
1996/12/3	4.1167	4.2	4.0333	4.0833	1323600
1996/12/4	4.0833	4.1	3.9333	3.9333	1000800
1996/12/5	3.9667	4.0167	3.9167	3.9333	1792800
1996/12/6	3.95	3.9833	3.7	3.8333	3683400
1996/12/9	3.9167	3.9667	3.75	3.75	2001600
1996/12/10	3.8333	3.8833	3.8	3.8333	2425800
1996/12/11	3.8667	3.8833	3.7667	3.8333	1486800
1996/12/12	3.8	3.8167	3.7667	3.8	661800
1996/12/13	3.7833	3.8	3.75	3.75	1148400
1996/12/16	3.7667	3.8	3.75	3.7833	843000
1996/12/17	3.7667	3.7833	3.7333	3.7333	789600
1996/12/18	3.7667	3.8167	3.7167	3.7167	799800
1996/12/19	3.75	3.7667	3.7333	3.75	812400
1996/12/20	3.7833	3.8	3.7333	3.7333	639600
1996/12/23	3.75	3.7833	3.75	3.7667	368400
1996/12/24	3.7833	3.8167	3.7667	3.8	362400
1996/12/26	3.8	3.8833	3.8	3.8	822000
1996/12/27	3.8167	3.8833	3.7833	3.8	734400
1996/12/30	3.8333	3.8333	3.75	3.7667	1418400
1996/12/31	3.7667	3.8	3.7333	3.75	1639800
1997/1/2	3.7833	3.7833	3.7333	3.7667	1321800
1997/1/3	3.7667	3.7833	3.7333	3.7667	1132800
1997/1/6	3.8	3.8333	3.7833	3.8	915600
1997/1/7	3.8167	4.0667	3.8167	3.9167	6075000
1997/1/8	3.95	4.0167	3.9333	3.9333	4021200
1997/1/9	3.9333	3.9667	3.8167	3.8167	2146800
1997/1/10	3.8333	3.8833	3.8	3.8333	2085600
1997/1/13	3.8333	3.9333	3.8333	3.8333	3150000
1997/1/14	3.8667	3.8667	3.7833	3.8	1802400
1997/1/15	3.85	3.9	3.8333	3.8667	598200
1997/1/16	3.8667	4.0333	3.85	4.0167	3478800
1997/1/17	4.0167	4.1833	4	4	7069200
1997/1/20	4.05	4.1667	4.05	4.1167	4254000
1997/1/21	4.1333	4.2333	4.1333	4.15	4576800
1997/1/22	4.1667	4.2	4.1	4.1167	2294400
1997/1/23	4.1333	4.15	4.0667	4.0667	1352400
1997/1/24	4.0667	4.1	4.0167	4.0667	802800
1997/1/27	4.0667	4.1167	4.0667	4.0833	896400
1997/1/28	4.0833	4.1	4.05	4.05	975000
1997/1/29	4.0667	4.0667	3.9167	3.9333	1217400
1997/1/30	3.9667	4.0667	3.9333	3.9833	970200
1997/1/31	4	4.0167	3.9667	3.9667	905400
1997/2/3	3.9833	4	3.95	3.9667	707400
1997/2/4	3.9833	4.05	3.9833	4	883800
1997/2/5	4	4.0333	4	4.0333	1187400
1997/2/12	4.0667	4.5	4.0667	4.45	8987400
1997/2/13	4.4833	4.6167	4.4167	4.45	6232200
1997/2/14	4.5	4.5167	4.3833	4.45	4077600
1997/2/17	4.4667	4.5333	4.45	4.4667	5040000
1997/2/18	4.4833	4.5	4.4	4.4167	2689800
1997/2/19	4.45	5.0667	4.4167	5	17044200
1997/2/20	5	5.2667	4.9333	5.1333	25386600
1997/2/21	5.1333	5.5667	5	5.4	19788600
1997/2/24	5.4667	5.9333	5.4333	5.6667	21394200
1997/2/25	5.7667	5.8333	5.5333	5.6333	11653800
1997/2/26	5.6667	5.7	5.3333	5.4	10129200
1997/2/27	5.4	5.5	5.1667	5.4	6636000
1997/2/28	5.4	5.5667	5.3333	5.4667	6650400
1997/3/3	5.5	5.5667	5.2667	5.3	3879600
1997/3/4	5.3	5.4	5.1667	5.2333	4147800
1997/3/5	5.2333	5.4667	5.1	5.4667	5365800
1997/3/6	5.5667	5.6	5.2	5.2333	5260800
1997/3/7	5.2667	5.3667	5.2	5.2667	3187200
1997/3/10	5.2667	5.4333	5.2	5.2333	3933600
1997/3/11	5.2333	5.5	5.2333	5.4667	5156400
1997/3/12	5.5	5.7333	5.4333	5.5667	12661200
1997/3/13	5.5333	5.9	5.4333	5.7667	11533800
1997/3/14	5.6333	5.8667	5.5667	5.6667	9829800
1997/3/17	5.7	5.7667	5.5333	5.5667	3640200
1997/3/18	5.5667	5.6333	5.3667	5.4333	2640600
1997/3/19	5.4333	5.5	5.3667	5.4	1517400
1997/3/20	5.4333	5.4333	5.3	5.3667	2041200
1997/3/21	5.3667	5.3667	5.2	5.2667	2257800
1997/3/24	5.2667	5.5667	5.2	5.3667	3775200
1997/3/25	5.4333	5.5333	5.3667	5.4333	3330000
1997/3/26	5.4667	5.5667	5.4	5.4667	3252600
1997/3/27	5.4667	5.5333	5.3667	5.4	2668800
1997/3/28	5.3667	5.7	5.3333	5.5667	5064000
1997/3/31	5.5667	5.5667	5.3667	5.4	2184000
1997/4/1	5.3333	5.4333	5.2667	5.3	2632800
1997/4/2	5.3	5.3333	4.9667	5.0333	3411600
1997/4/3	4.9833	5.0333	4.6833	4.7	3746400
1997/4/4	4.7	4.85	4.4	4.7167	5111400
1997/4/7	4.8167	4.9167	4.65	4.7667	3120600
1997/4/8	4.8167	4.9833	4.8	4.95	1846800
1997/4/9	5	5.1	4.8167	4.9833	2436600
1997/4/10	4.95	4.9667	4.7167	4.7833	823800
1997/4/11	4.7833	4.8	4.65	4.6833	953400
1997/4/14	4.65	4.65	4.3	4.3333	3291000
1997/4/15	4.4167	4.45	4.1667	4.2333	2185200
1997/4/16	4.3333	4.4667	4.0333	4.3167	2416800
1997/4/17	4.3667	4.6667	4.3667	4.6667	3131400
1997/4/21	4.6667	4.8	4.6167	4.7	2626800
1997/4/22	4.7	4.7	4.4667	4.4667	997800
1997/4/23	4.5	4.7	4.4667	4.4833	997200
1997/4/24	4.5	4.5	4.3667	4.3667	555600
1997/4/25	4.3667	4.5	4.35	4.3833	546600
1997/4/28	4.3833	4.4167	4.3333	4.35	1167000
1997/4/29	4.35	4.3667	4.2667	4.2833	728400
1997/4/30	4.4167	4.4667	4.3333	4.3833	771000
1997/5/2	4.3833	5.1333	4.3833	5.1	11631000
1997/5/5	5.2	5.4667	4.95	5.1	8475000
1997/5/6	5.1667	5.1667	4.9167	4.9333	3550800
1997/5/7	4.9333	5.1	4.75	4.95	3280800
1997/5/9	4.95	4.95	4.7667	4.8	838800
1997/5/12	4.8	4.8	4.5333	4.55	775800
1997/5/13	4.55	4.5833	4.4333	4.4833	922800
1997/5/14	4.4833	4.4833	4.2667	4.2833	3375000
1997/5/15	4.2833	4.3333	3.9667	4.0833	5702400
1997/5/16	4.0833	4.3167	3.95	4.3	5211600
1997/5/19	4.3167	4.4667	4.2833	4.3167	3994200
1997/5/20	4.3833	4.6333	4.3833	4.45	3412800
1997/5/22	4.5	4.9333	4.5	4.7667	5748000
1997/5/23	4.7667	4.8	4.5167	4.65	2194800
1997/5/26	4.6667	4.6833	4.5	4.5167	910800
1997/5/27	4.5333	4.85	4.4667	4.7167	3476400
1997/5/28	4.75	4.85	4.6667	4.6667	1686000
1997/5/29	4.7333	4.9667	4.6833	4.7333	4193400
1997/5/30	4.7667	4.8167	4.7	4.7	936600
1997/6/2	4.7	4.7833	4.5	4.55	999600
1997/6/3	4.55	4.65	4.5	4.5	1396800
1997/6/4	4.5333	4.5667	4.4333	4.45	667200
1997/6/5	4.45	4.5833	4.4	4.55	1327200
1997/6/6	4.55	4.6833	4.5167	4.6167	2231400
1997/6/9	4.6667	5.1667	4.6667	5	12510600
1997/6/10	5.1	5.2	4.9167	5.0667	11221800
1997/6/11	5.0667	5.1667	4.8	5.0333	8281200
1997/6/12	5.0333	5.0333	4.8	4.8167	3418200
1997/6/13	4.8333	4.8667	4.5	4.5833	5058000
1997/6/16	4.5833	4.5833	4.3333	4.5	4869000
1997/6/17	4.4667	4.5333	4.4167	4.4333	1272600
1997/6/18	4.4167	4.4833	4.3333	4.4333	1444800
1997/6/19	4.4333	4.45	4.3333	4.3333	2087400
1997/6/20	4.3333	4.4	4.2667	4.2667	2519400
1997/6/23	4.3	4.35	4.2667	4.2833	1336800
1997/6/24	4.2833	4.3333	4.2167	4.25	1177800
1997/6/25	4.2833	4.4	4.2167	4.2333	2422800
1997/6/26	4.2667	4.3	4.2	4.2333	1157400
1997/6/27	4.2333	4.2667	4.2	4.2167	670800
1997/6/30	4.2333	4.2667	4.1833	4.1833	632400
1997/7/1	4.2	4.2167	4.1667	4.1833	909600
1997/7/2	4.1667	4.3833	4.15	4.2167	1860000
1997/7/3	4.3333	4.3333	4.1833	4.2167	593400
1997/7/4	4.2167	4.2667	4.1667	4.2	1030200
1997/7/7	4.25	4.25	4.15	4.1667	1092000
1997/7/8	4.1833	4.2	4.1	4.1	549000
1997/7/9	4.1167	4.1167	4	4.05	1245600
1997/7/10	4.05	4.05	3.8833	3.8833	1581000
1997/7/11	3.9667	4.1333	3.9	4.05	1300200
1997/7/14	4.1	4.1	3.9167	3.9167	521400
1997/7/15	3.9167	4	3.8333	3.85	1051800
1997/7/16	3.85	3.9167	3.8333	3.85	813000
1997/7/18	3.8667	3.9833	3.8667	3.9333	416400
1997/7/21	3.9667	4.0667	3.95	4.0333	599400
1997/7/22	4.0667	4.0833	3.9833	4.0167	388200
1997/7/23	4.0333	4.05	4	4.05	390000
1997/7/24	4.0667	4.2333	4.0667	4.1667	1119600
1997/7/25	4.2	4.2333	4.0833	4.0833	385800
1997/7/28	4.1	4.1167	4.0333	4.0667	245400
1997/7/29	4.0667	4.0833	4.0333	4.0333	249000
1997/7/30	4.05	4.0667	4	4.0333	227400
1997/7/31	4.0167	4.0167	3.95	3.95	289200
1997/8/1	3.9167	3.9833	3.9167	3.9833	384600
