Date	Open	High	Low	Close	Volume
1984/1/9	1.5478	1.5478	1.5478	1.5478	20200
1984/1/10	1.5478	1.5478	1.5478	1.5478	14400
1984/1/11	1.561	1.561	1.561	1.561	14400
1984/1/12	1.561	1.561	1.561	1.561	8600
1984/1/13	1.561	1.561	1.561	1.561	2900
1984/1/16	1.561	1.561	1.561	1.561	23000
1984/1/17	1.561	1.561	1.561	1.561	11500
1984/1/18	1.5478	1.5478	1.5478	1.5478	14400
1984/1/19	1.5347	1.5347	1.5347	1.5347	17300
1984/1/20	1.5741	1.5741	1.5741	1.5741	2900
1984/1/27	1.5216	1.5216	1.5216	1.5216	2900
1984/1/31	1.5478	1.5478	1.5478	1.5478	20200
1984/2/14	1.5216	1.5216	1.5216	1.5216	5800
1984/2/15	1.5085	1.5085	1.5085	1.5085	2900
1984/3/26	1.5085	1.5085	1.5085	1.5085	14400
1984/3/27	1.5085	1.5085	1.5085	1.5085	11500
1984/3/28	1.4429	1.4429	1.4429	1.4429	11500
1984/4/5	1.338	1.338	1.338	1.338	2900
1984/4/11	1.3904	1.4035	1.3904	1.3904	17300
1984/4/12	1.3904	1.4035	1.3642	1.3904	8600
1984/4/13	1.3904	1.3904	1.3904	1.3904	5800
1984/4/27	1.3904	1.3904	1.3904	1.3904	8600
1984/4/30	1.3773	1.3773	1.3773	1.3773	2900
1984/5/7	1.4167	1.4167	1.4167	1.4167	2900
1984/5/8	1.3904	1.4429	1.3904	1.3904	11500
1984/5/11	1.338	1.3773	1.338	1.338	8600
1984/5/14	1.3117	1.3117	1.3117	1.3117	8600
1984/5/16	1.3012	1.3117	1.296	1.3012	28800
1984/5/17	1.3065	1.3065	1.3012	1.3065	5800
1984/5/18	1.3117	1.3117	1.3117	1.3117	2900
1984/5/23	1.2855	1.3117	1.2855	1.2855	8600
1984/5/31	1.3117	1.3117	1.3117	1.3117	14400
1984/6/5	1.3117	1.3117	1.3117	1.3117	5800
1984/6/21	1.2855	1.296	1.2855	1.2855	20200
1984/7/3	1.2855	1.2855	1.2855	1.2855	2900
1984/7/5	1.2855	1.2855	1.2855	1.2855	2900
1984/7/9	1.2593	1.2593	1.2593	1.2593	5800
1984/7/10	1.233	1.2488	1.233	1.233	5800
1984/7/17	1.2278	1.2278	1.2278	1.2278	2900
1984/7/25	1.1543	1.1543	1.1543	1.1543	2900
1984/7/27	1.1543	1.1543	1.1281	1.1543	17300
1984/8/1	1.1018	1.1018	1.1018	1.1018	2900
1984/8/2	1.1228	1.1281	1.1228	1.1228	54700
1984/8/3	1.1281	1.1281	1.1281	1.1281	161300
1984/8/6	1.1543	1.1596	1.1281	1.1543	149800
1984/8/7	1.1543	1.1596	1.1491	1.1543	273600
1984/8/8	1.1543	1.1648	1.1543	1.1543	138200
1984/8/9	1.1438	1.1543	1.1438	1.1438	51800
1984/8/10	1.1491	1.1543	1.1333	1.1491	31700
1984/8/13	1.1438	1.1438	1.1386	1.1438	8600
1984/8/15	1.1386	1.1386	1.1333	1.1386	8600
1984/8/16	1.1333	1.1333	1.1176	1.1333	40300
1984/8/17	1.1281	1.1386	1.1176	1.1281	20200
1984/8/20	1.1281	1.1281	1.1281	1.1281	23000
1984/8/21	1.1491	1.1491	1.1386	1.1491	25900
1984/8/22	1.1491	1.1543	1.1491	1.1491	40300
1984/8/23	1.1438	1.1543	1.1438	1.1438	8600
1984/8/24	1.1386	1.1438	1.1386	1.1386	11500
1984/8/27	1.1228	1.1281	1.1228	1.1228	11500
1984/8/28	1.1281	1.1281	1.1228	1.1281	5800
1984/8/29	1.1281	1.1281	1.1281	1.1281	8600
1984/8/30	1.1281	1.1281	1.1281	1.1281	5800
1984/9/3	1.1228	1.1281	1.1228	1.1228	31700
1984/9/4	1.1228	1.1228	1.1228	1.1228	2900
1984/9/6	1.1176	1.1176	1.1176	1.1176	5800
1984/9/12	1.1018	1.1018	1.1018	1.1018	8600
1984/9/13	1.0914	1.0914	1.0914	1.0914	8600
1984/9/20	1.0756	1.0756	1.0756	1.0756	8600
1984/9/25	1.0756	1.0756	1.0756	1.0756	5800
1984/9/27	1.0914	1.0914	1.0861	1.0914	14400
1984/9/28	1.0756	1.0756	1.0756	1.0756	31700
1984/10/3	1.0651	1.0704	1.0651	1.0651	17300
1984/10/4	1.0651	1.0651	1.0651	1.0651	5800
1984/10/5	1.0704	1.0704	1.0651	1.0704	5800
1984/10/10	1.0494	1.0494	1.0494	1.0494	8600
1984/10/12	1.0389	1.0494	1.0389	1.0389	5800
1984/10/17	1.0389	1.0389	1.0389	1.0389	2900
1984/10/18	1.0546	1.0546	1.0494	1.0546	40300
1984/10/19	1.0546	1.0546	1.0546	1.0546	43200
1984/10/31	1.0494	1.0494	1.0494	1.0494	5800
1984/11/1	1.0389	1.0389	1.0389	1.0389	14400
1984/11/6	1.0127	1.0284	1.0127	1.0127	31700
1984/11/7	1.0074	1.0127	1.0074	1.0074	23000
1984/11/8	0.9969	0.9969	0.9969	0.9969	2900
1984/11/9	0.9969	0.9969	0.9969	0.9969	5800
1984/11/14	1.0704	1.0704	1.0704	1.0704	2900
1984/11/20	0.9707	0.9707	0.9707	0.9707	2900
1984/11/21	0.9759	0.9759	0.9759	0.9759	2900
1984/11/22	0.9812	0.9812	0.9812	0.9812	2900
1984/11/26	0.9707	0.9707	0.9707	0.9707	2900
1984/11/27	0.9917	0.9917	0.9917	0.9917	8600
1984/12/11	1.1176	1.1176	1.1176	1.1176	28800
1984/12/12	1.1281	1.1281	1.1281	1.1281	2900
1984/12/17	1.1123	1.1228	1.1123	1.1123	5800
1984/12/19	1.1228	1.1228	1.1176	1.1228	5800
1984/12/28	1.1281	1.1281	1.1281	1.1281	2900
1984/12/31	1.1543	1.1543	1.1491	1.1543	11500
1985/1/2	1.1491	1.1491	1.1491	1.1491	2900
1985/1/8	1.1018	1.1018	1.1018	1.1018	5800
1985/1/10	1.0914	1.1018	1.0914	1.0914	11500
1985/1/24	1.0756	1.0756	1.0756	1.0756	5800
1985/1/30	1.1018	1.1018	1.1018	1.1018	5800
1985/2/5	1.1018	1.1018	1.1018	1.1018	2900
1985/2/6	1.0966	1.0966	1.0966	1.0966	5800
1985/2/7	1.1018	1.1018	1.1018	1.1018	2900
1985/2/8	1.1018	1.1018	1.1018	1.1018	2900
1985/2/12	1.0756	1.0756	1.0756	1.0756	2900
1985/2/14	1.0756	1.0756	1.0756	1.0756	2900
1985/2/15	1.0756	1.0756	1.0756	1.0756	2900
1985/2/18	1.0756	1.0809	1.0756	1.0756	5800
1985/2/27	1.1281	1.1281	1.1281	1.1281	5800
1985/3/4	1.1281	1.1281	1.1281	1.1281	5800
1985/3/7	1.1543	1.1543	1.1543	1.1543	2900
1985/3/8	1.1806	1.1806	1.1806	1.1806	8600
1985/3/11	1.1806	1.1963	1.1806	1.1806	155500
1985/3/12	1.191	1.191	1.1806	1.191	5800
1985/3/13	1.191	1.191	1.191	1.191	28800
1985/3/14	1.2068	1.2068	1.1963	1.2068	11500
1985/3/15	1.2593	1.2593	1.2225	1.2593	11500
1985/3/18	1.2593	1.2593	1.2593	1.2593	14400
1985/3/19	1.2593	1.2593	1.2593	1.2593	5800
1985/3/20	1.2593	1.2593	1.2593	1.2593	23000
1985/3/21	1.2488	1.2488	1.2488	1.2488	25900
1985/3/22	1.2383	1.2488	1.2383	1.2383	23000
1985/3/29	1.2068	1.233	1.2068	1.2068	17300
1985/4/3	1.2068	1.2068	1.2068	1.2068	2900
1985/4/5	1.2173	1.3117	1.2173	1.2173	14400
1985/4/10	1.212	1.212	1.2068	1.212	5800
1985/4/11	1.2068	1.2068	1.2015	1.2068	17300
1985/4/17	1.2015	1.2015	1.2015	1.2015	17300
1985/4/22	1.2015	1.2015	1.2015	1.2015	37400
1985/4/24	1.2068	1.2068	1.2068	1.2068	2900
1985/4/26	1.191	1.191	1.1806	1.191	5800
